AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
13869,20181123.0,1.0,Jump Shot,3.0,-154.0,210.0,5.0,1.0
20597,20181024.0,0.0,Jump Shot,3.0,-158.0,260.0,5.0,1.0
20663,20181110.0,0.0,Jump Shot,3.0,-88.0,289.0,5.0,1.0
20683,20181111.0,0.0,Jump Shot,3.0,-75.0,240.0,5.0,1.0
22051,20181119.0,0.0,Jump Shot,3.0,-130.0,216.0,5.0,1.0
24157,20181024.0,0.0,Jump Shot,3.0,-201.0,147.0,5.0,1.0
27565,20190317.0,1.0,Jump Shot,3.0,-127.0,224.0,5.0,1.0
28940,20190301.0,0.0,Pullup Jump shot,3.0,-52.0,250.0,5.0,1.0
35639,20181128.0,0.0,Pullup Jump shot,3.0,142.0,237.0,5.0,1.0
36269,20190210.0,0.0,Pullup Jump shot,3.0,-68.0,256.0,5.0,1.0
39169,20190119.0,1.0,Jump Shot,3.0,220.0,114.0,5.0,1.0
39389,20190401.0,0.0,Jump Shot,3.0,-234.0,5.0,5.0,1.0
39491,20181121.0,1.0,Jump Shot,3.0,232.0,90.0,5.0,1.0
49932,20190410.0,0.0,Jump Shot,3.0,49.0,276.0,5.0,1.0
66888,20190303.0,1.0,Jump Shot,3.0,-188.0,180.0,5.0,1.0
67020,20190324.0,0.0,Jump Shot,3.0,223.0,137.0,5.0,1.0
77473,20181231.0,1.0,Running Pull-Up Jump Shot,3.0,-185.0,171.0,5.0,1.0
98676,20190410.0,0.0,Pullup Jump shot,3.0,-120.0,243.0,5.0,1.0
101780,20181109.0,0.0,Running Jump Shot,3.0,-188.0,170.0,5.0,1.0
102220,20190227.0,1.0,Step Back Jump shot,3.0,168.0,186.0,5.0,1.0
114875,20181024.0,0.0,Jump Shot,3.0,218.0,106.0,5.0,1.0
114998,20181116.0,0.0,Jump Shot,3.0,-240.0,-15.0,5.0,1.0
130569,20181029.0,0.0,Jump Shot,3.0,-133.0,249.0,5.0,1.0
131320,20190121.0,1.0,Jump Shot,3.0,-62.0,247.0,5.0,1.0
138611,20181216.0,0.0,Jump Shot,3.0,78.0,249.0,5.0,1.0
138678,20190108.0,0.0,Jump Shot,3.0,62.0,269.0,5.0,1.0
145604,20190401.0,0.0,Jump Shot,3.0,92.0,249.0,5.0,1.0
165766,20181126.0,0.0,Jump Shot,3.0,-19.0,269.0,5.0,1.0
169945,20190107.0,1.0,Jump Shot,3.0,-228.0,11.0,5.0,1.0
173502,20181210.0,0.0,Jump Shot,3.0,-220.0,14.0,5.0,1.0
177072,20190204.0,1.0,Jump Shot,3.0,-231.0,63.0,5.0,1.0
192699,20190116.0,1.0,Pullup Jump shot,3.0,67.0,303.0,5.0,1.0
192770,20190126.0,0.0,Jump Shot,3.0,166.0,204.0,5.0,1.0
197679,20190107.0,0.0,Jump Shot,3.0,-113.0,224.0,5.0,1.0
207252,20190111.0,0.0,Fadeaway Jump Shot,3.0,-208.0,168.0,5.0,1.0
213428,20190318.0,0.0,Jump Shot,3.0,-168.0,205.0,5.0,1.0
213471,20190328.0,1.0,Jump Shot,3.0,-105.0,226.0,5.0,1.0
214955,20181106.0,0.0,Jump Shot,3.0,108.0,230.0,5.0,1.0
215335,20190222.0,0.0,Jump Shot,3.0,132.0,229.0,5.0,1.0
217258,20190330.0,0.0,Jump Shot,3.0,-224.0,36.0,5.0,1.0
5118,2017-03-07,0.0,Jump Shot,3.0,58.0,262.0,5.0,1.0
5276,2017-04-06,0.0,Jump Shot,3.0,232.0,11.0,5.0,1.0
20525,2017-02-04,0.0,Jump Shot,3.0,230.0,-36.0,5.0,1.0
26225,2017-03-11,1.0,Jump Shot,3.0,250.0,2.0,5.0,1.0
27802,2016-12-10,0.0,Jump Shot,3.0,-181.0,198.0,5.0,1.0
60869,2016-11-12,1.0,Jump Shot,3.0,-237.0,49.0,5.0,1.0
65917,2017-03-10,0.0,Jump Shot,3.0,-178.0,169.0,5.0,1.0
87770,2017-04-07,0.0,Jump Shot,3.0,240.0,-13.0,5.0,1.0
95038,2016-11-18,0.0,Jump Shot,3.0,14.0,254.0,5.0,1.0
103392,2017-03-24,1.0,Jump Shot,3.0,-140.0,241.0,5.0,1.0
117384,2016-11-23,1.0,Jump Shot,3.0,120.0,223.0,5.0,1.0
118996,2016-11-09,0.0,Pullup Jump Shot,3.0,-79.0,287.0,5.0,1.0
119803,2017-02-15,0.0,Turnaround Jump Shot,3.0,76.0,245.0,5.0,1.0
120060,2017-03-21,0.0,Floating Jump Shot,3.0,187.0,184.0,5.0,1.0
120095,2017-03-26,0.0,Jump Shot,3.0,230.0,16.0,5.0,1.0
130073,2017-03-15,0.0,Jump Shot,3.0,233.0,19.0,5.0,1.0
130126,2017-03-26,1.0,Jump Shot,3.0,-209.0,173.0,5.0,1.0
146628,2017-03-29,1.0,Jump Shot,3.0,138.0,228.0,5.0,1.0
148100,2017-02-11,0.0,Jump Shot,3.0,7.0,257.0,5.0,1.0
151625,2017-02-10,0.0,Jump Shot,3.0,-241.0,0.0,5.0,1.0
152976,2016-11-19,0.0,Jump Shot,3.0,-183.0,183.0,5.0,1.0
157625,2017-01-19,0.0,3PT Jump Shot,3.0,225.0,12.0,5.0,1.0
175451,2017-01-06,0.0,Jump Shot,3.0,-169.0,208.0,5.0,1.0
175777,2017-04-09,0.0,Jump Shot,3.0,32.0,272.0,5.0,1.0
199023,2017-04-02,0.0,Jump Shot,3.0,-250.0,-41.0,5.0,1.0
