AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
61,20181027.0,0.0,Jump Shot,3.0,-203.0,178.0,2.0,1.0
106,20181104.0,1.0,Jump Shot,3.0,-236.0,55.0,2.0,1.0
120,20181105.0,0.0,Jump Shot,3.0,-139.0,213.0,2.0,1.0
206,20181118.0,0.0,Pullup Jump shot,3.0,-138.0,216.0,2.0,1.0
294,20181205.0,0.0,Jump Shot,3.0,-228.0,13.0,2.0,1.0
392,20181223.0,0.0,Jump Shot,3.0,-169.0,199.0,2.0,1.0
437,20181231.0,0.0,Jump Shot,3.0,-55.0,251.0,2.0,1.0
496,20190109.0,1.0,Jump Shot,3.0,-105.0,227.0,2.0,1.0
707,20190212.0,0.0,Jump Shot,3.0,79.0,247.0,2.0,1.0
822,20190305.0,0.0,Jump Shot,3.0,-231.0,36.0,2.0,1.0
881,20190314.0,0.0,Jump Shot,3.0,87.0,243.0,2.0,1.0
920,20190320.0,1.0,Jump Shot,3.0,216.0,115.0,2.0,1.0
986,20190330.0,0.0,Pullup Jump shot,3.0,-65.0,279.0,2.0,1.0
1057,20181117.0,0.0,Jump Shot,3.0,190.0,306.0,2.0,1.0
1164,20190117.0,0.0,Pullup Jump shot,3.0,45.0,260.0,2.0,1.0
1213,20190205.0,1.0,Jump Shot,3.0,13.0,253.0,2.0,1.0
1259,20190324.0,0.0,Jump Shot,3.0,225.0,88.0,2.0,1.0
1348,20190102.0,0.0,Running Jump Shot,3.0,177.0,505.0,2.0,1.0
1576,20181025.0,1.0,Jump Shot,3.0,5.0,258.0,2.0,1.0
1788,20181229.0,1.0,Jump Shot,3.0,-65.0,252.0,2.0,1.0
1874,20190119.0,1.0,Jump Shot,3.0,-122.0,226.0,2.0,1.0
2000,20190213.0,0.0,Jump Shot,3.0,222.0,106.0,2.0,1.0
2146,20190318.0,0.0,Jump Shot,3.0,3.0,249.0,2.0,1.0
2266,20181022.0,0.0,Jump Shot,3.0,98.0,239.0,2.0,1.0
2326,20181111.0,0.0,Jump Shot,3.0,193.0,151.0,2.0,1.0
2335,20181114.0,1.0,Jump Shot,3.0,157.0,200.0,2.0,1.0
2419,20181206.0,0.0,Jump Shot,3.0,-136.0,226.0,2.0,1.0
2437,20181211.0,0.0,Jump Shot,3.0,-176.0,190.0,2.0,1.0
2458,20181217.0,0.0,Jump Shot,3.0,-95.0,246.0,2.0,1.0
2521,20190101.0,1.0,Jump Shot,3.0,231.0,20.0,2.0,1.0
2533,20190104.0,0.0,Jump Shot,3.0,223.0,22.0,2.0,1.0
2623,20190126.0,0.0,Jump Shot,3.0,192.0,151.0,2.0,1.0
2658,20190221.0,0.0,Pullup Jump shot,3.0,-177.0,164.0,2.0,1.0
2891,20181107.0,1.0,Jump Shot,3.0,-91.0,241.0,2.0,1.0
3037,20181208.0,1.0,Pullup Jump shot,3.0,-185.0,183.0,2.0,1.0
3187,20190109.0,1.0,Jump Shot,3.0,-229.0,-8.0,2.0,1.0
3348,20181025.0,0.0,Jump Shot,3.0,-15.0,241.0,2.0,1.0
3367,20181101.0,1.0,Jump Shot,3.0,180.0,173.0,2.0,1.0
3432,20181130.0,0.0,Jump Shot,3.0,-203.0,134.0,2.0,1.0
3435,20181130.0,1.0,Jump Shot,3.0,-172.0,214.0,2.0,1.0
3473,20181223.0,1.0,Jump Shot,3.0,99.0,235.0,2.0,1.0
3617,20190405.0,1.0,Pullup Jump shot,3.0,-71.0,247.0,2.0,1.0
3799,20181125.0,0.0,Jump Shot,3.0,-226.0,43.0,2.0,1.0
4065,20190210.0,0.0,Jump Shot,3.0,-98.0,220.0,2.0,1.0
4071,20190212.0,0.0,Jump Shot,3.0,224.0,25.0,2.0,1.0
4218,20190326.0,0.0,Jump Shot,3.0,-95.0,228.0,2.0,1.0
4236,20190331.0,0.0,Jump Shot,3.0,-225.0,69.0,2.0,1.0
4247,20190402.0,1.0,Jump Shot,3.0,-11.0,256.0,2.0,1.0
4284,20190407.0,0.0,Jump Shot,3.0,234.0,13.0,2.0,1.0
4404,20181028.0,0.0,Jump Shot,3.0,222.0,-6.0,2.0,1.0
4410,20181029.0,1.0,Jump Shot,3.0,107.0,227.0,2.0,1.0
