AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
61,20181027.0,0.0,Jump Shot,3.0,-203.0,178.0,3.0,1.0
106,20181104.0,1.0,Jump Shot,3.0,-236.0,55.0,3.0,1.0
156,20181109.0,0.0,Pullup Jump shot,2.0,-106.0,115.0,3.0,1.0
205,20181118.0,1.0,Pullup Jump shot,3.0,7.0,257.0,3.0,1.0
497,20190109.0,1.0,Turnaround Jump Shot,2.0,11.0,82.0,3.0,1.0
533,20190113.0,1.0,Pullup Jump shot,2.0,13.0,125.0,3.0,1.0
737,20190222.0,0.0,Pullup Jump shot,2.0,-16.0,189.0,3.0,1.0
820,20190305.0,1.0,Pullup Jump shot,3.0,-25.0,256.0,3.0,1.0
881,20190314.0,0.0,Jump Shot,3.0,87.0,243.0,3.0,1.0
921,20190320.0,0.0,Jump Shot,3.0,-232.0,44.0,3.0,1.0
1124,20181207.0,0.0,Pullup Jump shot,3.0,104.0,252.0,3.0,1.0
1215,20190205.0,0.0,Jump Shot,3.0,110.0,247.0,3.0,1.0
1259,20190324.0,0.0,Jump Shot,3.0,225.0,88.0,3.0,1.0
1348,20190102.0,0.0,Running Jump Shot,3.0,177.0,505.0,3.0,1.0
1421,20190207.0,1.0,Jump Shot,3.0,225.0,46.0,3.0,1.0
1577,20181025.0,0.0,Jump Shot,3.0,-210.0,147.0,3.0,1.0
1719,20181126.0,0.0,Jump Shot,3.0,-132.0,222.0,3.0,1.0
1755,20181225.0,1.0,Hook Shot,2.0,-19.0,5.0,3.0,1.0
1822,20190109.0,1.0,Turnaround Hook Shot,2.0,-41.0,55.0,3.0,1.0
1870,20190118.0,1.0,Turnaround Fadeaway Bank Jump Shot,2.0,46.0,87.0,3.0,1.0
1892,20190121.0,0.0,Jump Shot,2.0,56.0,56.0,3.0,1.0
1906,20190126.0,0.0,Jump Shot,3.0,165.0,215.0,3.0,1.0
1938,20190201.0,1.0,Jump Shot,2.0,95.0,22.0,3.0,1.0
1956,20190205.0,0.0,Jump Shot,3.0,-78.0,244.0,3.0,1.0
1992,20190212.0,0.0,Hook Shot,2.0,2.0,50.0,3.0,1.0
2000,20190213.0,0.0,Jump Shot,3.0,222.0,106.0,3.0,1.0
2038,20190223.0,0.0,Jump Shot,2.0,163.0,5.0,3.0,1.0
2063,20190227.0,0.0,Jump Shot,2.0,-129.0,155.0,3.0,1.0
2101,20190306.0,1.0,Jump Shot,3.0,-3.0,257.0,3.0,1.0
2110,20190309.0,0.0,Jump Shot,3.0,56.0,264.0,3.0,1.0
2146,20190318.0,0.0,Jump Shot,3.0,3.0,249.0,3.0,1.0
2217,20190403.0,1.0,Jump Shot,3.0,89.0,248.0,3.0,1.0
2230,20190405.0,0.0,Jump Shot,3.0,-211.0,180.0,3.0,1.0
2336,20181114.0,1.0,Running Pull-Up Jump Shot,3.0,-87.0,229.0,3.0,1.0
2522,20190101.0,0.0,Jump Shot,3.0,-229.0,53.0,3.0,1.0
2891,20181107.0,1.0,Jump Shot,3.0,-91.0,241.0,3.0,1.0
2994,20181203.0,0.0,Jump Shot,3.0,-112.0,226.0,3.0,1.0
3038,20181210.0,0.0,Jump Shot,2.0,-63.0,146.0,3.0,1.0
3295,20190205.0,0.0,Jump Shot,2.0,-5.0,235.0,3.0,1.0
3368,20181101.0,0.0,Jump Shot,3.0,215.0,120.0,3.0,1.0
3437,20181203.0,0.0,Jump Shot,3.0,-237.0,15.0,3.0,1.0
3626,20190407.0,0.0,Jump Shot,2.0,-16.0,110.0,3.0,1.0
3799,20181125.0,0.0,Jump Shot,3.0,-226.0,43.0,3.0,1.0
4185,20190317.0,0.0,Hook Shot,2.0,-22.0,53.0,3.0,1.0
4403,20181028.0,1.0,Jump Shot,3.0,-225.0,91.0,3.0,1.0
4411,20181029.0,1.0,Jump Shot,3.0,-237.0,-5.0,3.0,1.0
4436,20181105.0,0.0,Jump Shot,3.0,-177.0,190.0,3.0,1.0
4606,20190313.0,0.0,Turnaround Jump Shot,2.0,11.0,64.0,3.0,1.0
4714,20181028.0,0.0,Driving Floating Jump Shot,2.0,54.0,119.0,3.0,1.0
4820,20181121.0,0.0,Pullup Jump shot,3.0,192.0,163.0,3.0,1.0
4829,20181121.0,1.0,Jump Shot,3.0,-233.0,110.0,3.0,1.0
4894,20181205.0,0.0,Jump Shot,3.0,231.0,72.0,3.0,1.0
4914,20181212.0,0.0,Jump Shot,3.0,-46.0,260.0,3.0,1.0
4953,20190211.0,1.0,Jump Shot,3.0,104.0,258.0,3.0,1.0
4965,20190221.0,1.0,Jump Shot,3.0,-135.0,211.0,3.0,1.0
5202,20181123.0,0.0,Pullup Jump shot,2.0,-41.0,79.0,3.0,1.0
5351,20190123.0,0.0,Step Back Jump shot,3.0,227.0,63.0,3.0,1.0
6281,20190109.0,0.0,Driving Floating Jump Shot,2.0,-17.0,33.0,3.0,1.0
6394,20190202.0,0.0,Jump Shot,3.0,-5.0,596.0,3.0,1.0
7001,20190202.0,0.0,Jump Shot,3.0,-227.0,-5.0,3.0,1.0
7272,20181102.0,1.0,Pullup Jump shot,3.0,-114.0,242.0,3.0,1.0
7318,20181107.0,1.0,Jump Shot,3.0,-229.0,31.0,3.0,1.0
7337,20181112.0,0.0,Step Back Jump shot,2.0,70.0,147.0,3.0,1.0
7550,20181212.0,0.0,Turnaround Fadeaway shot,2.0,-117.0,6.0,3.0,1.0
7653,20181228.0,0.0,Pullup Jump shot,2.0,-92.0,197.0,3.0,1.0
7770,20190108.0,0.0,Step Back Jump shot,2.0,-130.0,43.0,3.0,1.0
7945,20190127.0,0.0,Jump Shot,3.0,36.0,276.0,3.0,1.0
8034,20190208.0,0.0,Turnaround Jump Shot,2.0,-131.0,88.0,3.0,1.0
8149,20190306.0,0.0,Pullup Jump shot,2.0,97.0,144.0,3.0,1.0
8204,20190319.0,0.0,Step Back Jump shot,3.0,-223.0,20.0,3.0,1.0
8237,20190323.0,0.0,Turnaround Fadeaway shot,2.0,-95.0,20.0,3.0,1.0
8358,20190407.0,0.0,Jump Shot,3.0,-131.0,244.0,3.0,1.0
8451,20190410.0,1.0,Driving Floating Jump Shot,2.0,-63.0,67.0,3.0,1.0
8692,20190225.0,0.0,Jump Shot,2.0,-89.0,113.0,3.0,1.0
8809,20181017.0,0.0,Turnaround Fadeaway shot,2.0,-6.0,139.0,3.0,1.0
8930,20181107.0,1.0,Jump Shot,2.0,-33.0,126.0,3.0,1.0
9017,20181116.0,1.0,Fadeaway Jump Shot,2.0,2.0,162.0,3.0,1.0
9064,20181119.0,0.0,Fadeaway Jump Shot,2.0,85.0,126.0,3.0,1.0
9102,20181123.0,0.0,Pullup Jump shot,2.0,-20.0,91.0,3.0,1.0
9150,20181130.0,0.0,Jump Shot,2.0,46.0,191.0,3.0,1.0
9154,20181130.0,1.0,Jump Shot,3.0,2.0,262.0,3.0,1.0
9285,20181210.0,0.0,Jump Shot,2.0,108.0,121.0,3.0,1.0
9420,20181226.0,0.0,Step Back Jump shot,2.0,-154.0,121.0,3.0,1.0
9445,20181228.0,0.0,Turnaround Jump Shot,2.0,-73.0,-4.0,3.0,1.0
9456,20181228.0,0.0,Jump Shot,3.0,-9.0,246.0,3.0,1.0
9482,20190102.0,1.0,Fadeaway Jump Shot,2.0,-94.0,122.0,3.0,1.0
9636,20190118.0,1.0,Driving Hook Shot,2.0,23.0,48.0,3.0,1.0
9732,20190301.0,0.0,Driving Hook Shot,2.0,5.0,67.0,3.0,1.0
9849,20181026.0,0.0,Jump Shot,3.0,-231.0,26.0,3.0,1.0
9902,20190104.0,1.0,Jump Shot,3.0,210.0,122.0,3.0,1.0
9956,20190222.0,0.0,Jump Shot,3.0,-77.0,247.0,3.0,1.0
10102,20181020.0,0.0,Jump Shot,2.0,-93.0,190.0,3.0,1.0
10116,20181026.0,0.0,Step Back Jump shot,3.0,2.0,265.0,3.0,1.0
10157,20181102.0,1.0,Jump Shot,2.0,0.0,232.0,3.0,1.0
10170,20181105.0,0.0,Jump Shot,3.0,226.0,59.0,3.0,1.0
10228,20181116.0,1.0,Pullup Jump shot,2.0,-77.0,160.0,3.0,1.0
10257,20181121.0,0.0,Running Jump Shot,2.0,-5.0,62.0,3.0,1.0
10348,20190111.0,0.0,Jump Shot,2.0,-53.0,106.0,3.0,1.0
10383,20190303.0,1.0,Pullup Jump shot,2.0,145.0,148.0,3.0,1.0
10903,20181227.0,1.0,Driving Floating Jump Shot,2.0,-8.0,17.0,3.0,1.0
10955,20190105.0,0.0,Driving Floating Jump Shot,2.0,33.0,34.0,3.0,1.0
10997,20190113.0,1.0,Pullup Jump shot,3.0,161.0,221.0,3.0,1.0
11159,20190228.0,1.0,Jump Shot,2.0,27.0,206.0,3.0,1.0
11174,20190305.0,0.0,Jump Shot,3.0,92.0,241.0,3.0,1.0
11228,20190328.0,1.0,Driving Floating Bank Jump Shot,2.0,-57.0,38.0,3.0,1.0
11369,20181123.0,1.0,Turnaround Jump Shot,2.0,65.0,170.0,3.0,1.0
11394,20181129.0,1.0,Jump Shot,3.0,-201.0,149.0,3.0,1.0
11417,20181203.0,0.0,Pullup Jump shot,3.0,-79.0,252.0,3.0,1.0
11482,20181223.0,0.0,Jump Shot,3.0,-189.0,167.0,3.0,1.0
11612,20190122.0,1.0,Pullup Jump shot,2.0,-172.0,60.0,3.0,1.0
11707,20190212.0,1.0,Running Jump Shot,3.0,-228.0,11.0,3.0,1.0
11719,20190212.0,0.0,Running Jump Shot,3.0,-96.0,241.0,3.0,1.0
11779,20190227.0,1.0,Step Back Jump shot,3.0,-154.0,200.0,3.0,1.0
11812,20190303.0,1.0,Pullup Jump shot,2.0,12.0,185.0,3.0,1.0
11855,20190310.0,0.0,Jump Shot,3.0,96.0,233.0,3.0,1.0
12401,20181226.0,0.0,Jump Shot,3.0,-225.0,33.0,3.0,1.0
12431,20181016.0,0.0,Jump Shot,2.0,-76.0,162.0,3.0,1.0
12771,20181217.0,0.0,Jump Shot,2.0,54.0,9.0,3.0,1.0
12850,20190102.0,0.0,Running Jump Shot,2.0,20.0,24.0,3.0,1.0
13173,20190302.0,0.0,Turnaround Hook Shot,2.0,-38.0,12.0,3.0,1.0
13579,20190304.0,0.0,Jump Shot,3.0,-231.0,15.0,3.0,1.0
13726,20181031.0,0.0,Step Back Jump shot,3.0,43.0,258.0,3.0,1.0
13740,20181103.0,1.0,Turnaround Fadeaway Bank Jump Shot,2.0,-108.0,31.0,3.0,1.0
13866,20181121.0,1.0,Step Back Jump shot,3.0,-228.0,85.0,3.0,1.0
13900,20181125.0,0.0,Pullup Jump shot,3.0,133.0,243.0,3.0,1.0
13948,20181201.0,0.0,Jump Shot,3.0,74.0,262.0,3.0,1.0
14031,20181209.0,0.0,Jump Shot,3.0,-189.0,152.0,3.0,1.0
14097,20181219.0,1.0,Jump Shot,3.0,-221.0,87.0,3.0,1.0
14149,20181226.0,0.0,Jump Shot,3.0,-192.0,158.0,3.0,1.0
14183,20190101.0,0.0,Jump Shot,3.0,-234.0,132.0,3.0,1.0
14285,20190112.0,0.0,Step Back Jump shot,3.0,-145.0,232.0,3.0,1.0
14395,20190121.0,1.0,Pullup Jump shot,3.0,-100.0,281.0,3.0,1.0
14438,20190125.0,0.0,Pullup Jump shot,3.0,-89.0,269.0,3.0,1.0
14494,20190202.0,1.0,Jump Shot,3.0,-155.0,209.0,3.0,1.0
14565,20190211.0,0.0,Jump Shot,3.0,19.0,263.0,3.0,1.0
14580,20190213.0,0.0,Jump Shot,3.0,93.0,245.0,3.0,1.0
14734,20190310.0,1.0,Jump Shot,3.0,-235.0,22.0,3.0,1.0
14865,20190326.0,0.0,Jump Shot,3.0,-226.0,29.0,3.0,1.0
14896,20190405.0,0.0,Jump Shot,3.0,141.0,211.0,3.0,1.0
14901,20190405.0,1.0,Jump Shot,3.0,-216.0,129.0,3.0,1.0
15147,20190328.0,1.0,Turnaround Hook Shot,2.0,3.0,66.0,3.0,1.0
15197,20181018.0,1.0,Jump Shot,3.0,150.0,210.0,3.0,1.0
15252,20181213.0,0.0,Jump Shot,2.0,-127.0,92.0,3.0,1.0
15265,20181217.0,0.0,Jump Shot,2.0,143.0,67.0,3.0,1.0
15275,20181217.0,0.0,Jump Shot,3.0,163.0,194.0,3.0,1.0
15301,20190106.0,0.0,Fadeaway Jump Shot,2.0,119.0,4.0,3.0,1.0
15319,20190109.0,0.0,Jump Shot,3.0,-161.0,183.0,3.0,1.0
15355,20190119.0,0.0,Jump Shot,3.0,-44.0,260.0,3.0,1.0
15360,20190119.0,1.0,Jump Shot,3.0,3.0,251.0,3.0,1.0
15369,20190121.0,0.0,Jump Shot,3.0,51.0,284.0,3.0,1.0
15437,20190130.0,1.0,Jump Shot,2.0,92.0,39.0,3.0,1.0
15451,20190202.0,1.0,Jump Shot,2.0,-207.0,20.0,3.0,1.0
15468,20190208.0,1.0,Jump Shot,2.0,155.0,159.0,3.0,1.0
15503,20190211.0,0.0,Jump Shot,3.0,-55.0,256.0,3.0,1.0
15508,20190211.0,0.0,Jump Shot,2.0,-81.0,222.0,3.0,1.0
15598,20190308.0,1.0,Jump Shot,2.0,179.0,25.0,3.0,1.0
15719,20190326.0,0.0,Turnaround Hook Shot,2.0,-27.0,38.0,3.0,1.0
15743,20190329.0,0.0,Pullup Jump shot,2.0,93.0,142.0,3.0,1.0
15754,20190329.0,0.0,Jump Shot,3.0,-130.0,227.0,3.0,1.0
15808,20190407.0,0.0,Jump Shot,3.0,-14.0,256.0,3.0,1.0
15838,20181112.0,0.0,Driving Floating Jump Shot,2.0,-7.0,88.0,3.0,1.0
15869,20181117.0,0.0,Step Back Jump shot,3.0,119.0,223.0,3.0,1.0
15978,20181207.0,0.0,Jump Shot,2.0,58.0,122.0,3.0,1.0
16016,20181212.0,1.0,Pullup Jump shot,2.0,120.0,118.0,3.0,1.0
16138,20190101.0,1.0,Jump Shot,2.0,19.0,155.0,3.0,1.0
16234,20190117.0,1.0,Fadeaway Jump Shot,2.0,-78.0,188.0,3.0,1.0
16384,20190210.0,0.0,Floating Jump shot,2.0,-3.0,67.0,3.0,1.0
16605,20190330.0,1.0,Jump Shot,3.0,-165.0,208.0,3.0,1.0
16641,20190404.0,0.0,Jump Shot,3.0,231.0,30.0,3.0,1.0
16654,20190407.0,0.0,Jump Bank Shot,2.0,79.0,62.0,3.0,1.0
16690,20181017.0,0.0,Jump Shot,2.0,33.0,132.0,3.0,1.0
16767,20181102.0,0.0,Jump Shot,3.0,-166.0,200.0,3.0,1.0
16780,20181105.0,1.0,Pullup Jump shot,3.0,-134.0,238.0,3.0,1.0
16806,20181111.0,1.0,Jump Shot,3.0,230.0,136.0,3.0,1.0
16857,20181121.0,0.0,Jump Shot,3.0,-195.0,146.0,3.0,1.0
16924,20181201.0,0.0,Jump Shot,3.0,223.0,30.0,3.0,1.0
16989,20181212.0,1.0,Jump Shot,3.0,-150.0,254.0,3.0,1.0
17004,20181214.0,0.0,Step Back Jump shot,2.0,-162.0,16.0,3.0,1.0
17043,20181219.0,0.0,Jump Shot,3.0,-159.0,210.0,3.0,1.0
17120,20190106.0,1.0,Fadeaway Jump Shot,2.0,-87.0,62.0,3.0,1.0
17215,20190123.0,1.0,Pullup Jump shot,2.0,103.0,5.0,3.0,1.0
17291,20190202.0,1.0,Jump Shot,3.0,215.0,128.0,3.0,1.0
17337,20190207.0,0.0,Step Back Jump shot,3.0,223.0,47.0,3.0,1.0
17353,20190209.0,1.0,Jump Shot,3.0,-187.0,208.0,3.0,1.0
17447,20190227.0,0.0,Jump Shot,3.0,39.0,252.0,3.0,1.0
17625,20190324.0,1.0,Driving Floating Jump Shot,2.0,-11.0,58.0,3.0,1.0
17863,20190407.0,1.0,Driving Floating Jump Shot,2.0,-22.0,11.0,3.0,1.0
17925,20181022.0,1.0,Jump Shot,3.0,-107.0,222.0,3.0,1.0
18004,20181030.0,0.0,Step Back Jump shot,2.0,-149.0,-10.0,3.0,1.0
18325,20181208.0,1.0,Step Back Jump shot,2.0,-141.0,108.0,3.0,1.0
18354,20181210.0,0.0,Jump Shot,3.0,-198.0,191.0,3.0,1.0
18402,20181216.0,1.0,Pullup Jump shot,2.0,-160.0,143.0,3.0,1.0
18425,20181216.0,0.0,Jump Shot,3.0,-35.0,263.0,3.0,1.0
18440,20181218.0,0.0,Jump Shot,3.0,8.0,263.0,3.0,1.0
18635,20190106.0,0.0,Jump Shot,3.0,227.0,-5.0,3.0,1.0
