AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
206,20181118.0,0.0,Pullup Jump shot,3.0,-138.0,216.0,4.0,1.0
498,20190109.0,0.0,Jump Shot,3.0,35.0,243.0,4.0,1.0
534,20190113.0,1.0,Turnaround Jump Shot,2.0,78.0,128.0,4.0,1.0
821,20190305.0,1.0,Turnaround Jump Shot,2.0,-103.0,148.0,4.0,1.0
1871,20190118.0,1.0,Jump Shot,3.0,36.0,264.0,4.0,1.0
1939,20190201.0,0.0,Jump Shot,3.0,181.0,198.0,4.0,1.0
2103,20190306.0,1.0,Hook Shot,2.0,-2.0,64.0,4.0,1.0
2219,20190403.0,1.0,Turnaround Jump Shot,2.0,52.0,116.0,4.0,1.0
2337,20181114.0,0.0,Jump Shot,3.0,-134.0,235.0,4.0,1.0
2892,20181107.0,1.0,Pullup Jump shot,3.0,131.0,234.0,4.0,1.0
4404,20181028.0,0.0,Jump Shot,3.0,222.0,-6.0,4.0,1.0
4412,20181029.0,0.0,Jump Shot,2.0,-24.0,84.0,4.0,1.0
4830,20181121.0,0.0,Jump Shot,3.0,210.0,143.0,4.0,1.0
4954,20190213.0,1.0,Jump Shot,3.0,63.0,238.0,4.0,1.0
4966,20190221.0,0.0,Jump Shot,3.0,-92.0,247.0,4.0,1.0
7273,20181102.0,0.0,Pullup Jump shot,3.0,-207.0,202.0,4.0,1.0
7322,20181107.0,0.0,Jump Shot,3.0,-80.0,246.0,4.0,1.0
8452,20190410.0,1.0,Pullup Jump shot,3.0,-54.0,247.0,4.0,1.0
8931,20181107.0,1.0,Jump Shot,3.0,228.0,100.0,4.0,1.0
9019,20181116.0,0.0,Step Back Jump shot,2.0,158.0,99.0,4.0,1.0
9155,20181130.0,1.0,Jump Shot,3.0,-102.0,237.0,4.0,1.0
9903,20190104.0,0.0,Jump Shot,3.0,228.0,31.0,4.0,1.0
10158,20181102.0,1.0,Jump Shot,3.0,-33.0,254.0,4.0,1.0
10229,20181116.0,0.0,Step Back Jump shot,2.0,-89.0,117.0,4.0,1.0
10384,20190303.0,1.0,Pullup Jump shot,2.0,178.0,25.0,4.0,1.0
10904,20181227.0,0.0,Jump Shot,3.0,-226.0,74.0,4.0,1.0
10998,20190113.0,0.0,Driving Floating Jump Shot,2.0,-5.0,89.0,4.0,1.0
11160,20190228.0,1.0,Jump Shot,3.0,-239.0,5.0,4.0,1.0
11229,20190328.0,1.0,Driving Floating Bank Jump Shot,2.0,-73.0,35.0,4.0,1.0
11370,20181123.0,0.0,Pullup Jump shot,2.0,135.0,164.0,4.0,1.0
11395,20181129.0,1.0,Jump Shot,3.0,5.0,254.0,4.0,1.0
11613,20190122.0,0.0,Jump Shot,3.0,29.0,249.0,4.0,1.0
