AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
28749,20190130.0,1.0,Step Back Jump shot,2.0,-87.0,155.0,7.0,1.0
29029,20190312.0,1.0,Jump Shot,3.0,136.0,214.0,7.0,1.0
34367,20190118.0,0.0,Pullup Jump shot,3.0,62.0,253.0,7.0,1.0
36269,20190210.0,0.0,Pullup Jump shot,3.0,-68.0,256.0,7.0,1.0
39171,20190119.0,0.0,Jump Shot,3.0,38.0,257.0,7.0,1.0
49511,20190129.0,0.0,Pullup Jump shot,2.0,-75.0,132.0,7.0,1.0
49520,20190201.0,1.0,Pullup Jump shot,2.0,-152.0,99.0,7.0,1.0
66890,20190303.0,0.0,Jump Shot,3.0,149.0,214.0,7.0,1.0
77474,20181231.0,0.0,Pullup Jump shot,3.0,-200.0,148.0,7.0,1.0
85863,20190409.0,1.0,Pullup Jump shot,3.0,-8.0,260.0,7.0,1.0
97530,20181121.0,1.0,Jump Shot,3.0,230.0,78.0,7.0,1.0
123170,20190311.0,1.0,Driving Floating Jump Shot,2.0,-61.0,96.0,7.0,1.0
129697,20181229.0,1.0,Driving Floating Jump Shot,2.0,-11.0,83.0,7.0,1.0
130298,20190328.0,0.0,Jump Shot,3.0,74.0,249.0,7.0,1.0
131321,20190121.0,1.0,Jump Shot,3.0,-180.0,194.0,7.0,1.0
131731,20190324.0,0.0,Jump Shot,3.0,198.0,210.0,7.0,1.0
135954,20190119.0,1.0,Jump Shot,3.0,-124.0,213.0,7.0,1.0
164316,20181020.0,1.0,Jump Bank Shot,2.0,-49.0,11.0,7.0,1.0
177843,20190129.0,1.0,Jump Shot,3.0,69.0,248.0,7.0,1.0
213473,20190328.0,0.0,Jump Shot,3.0,39.0,256.0,7.0,1.0
5118,2017-03-07,0.0,Jump Shot,3.0,58.0,262.0,7.0,1.0
8218,2016-11-17,0.0,Step Back Jump Shot,2.0,128.0,126.0,7.0,1.0
22679,2017-04-02,1.0,Jump Shot,2.0,4.0,149.0,7.0,1.0
25230,2017-02-12,1.0,Turnaround Jump Shot,2.0,109.0,134.0,7.0,1.0
28524,2017-03-11,1.0,Step Back Jump Shot,3.0,-60.0,247.0,7.0,1.0
47608,2017-01-26,0.0,Jump Shot,2.0,32.0,154.0,7.0,1.0
60870,2016-11-12,0.0,Jump Shot,3.0,-196.0,178.0,7.0,1.0
76870,2017-03-14,0.0,Jump Shot,3.0,145.0,211.0,7.0,1.0
89440,2017-03-10,1.0,Jump Shot,3.0,232.0,26.0,7.0,1.0
97073,2016-10-25,1.0,Turnaround Jump Shot,2.0,-1.0,56.0,7.0,1.0
97653,2017-04-07,0.0,Jump Shot,2.0,37.0,64.0,7.0,1.0
102569,2016-11-08,0.0,Jump Shot,2.0,52.0,192.0,7.0,1.0
103395,2017-03-24,0.0,Floating Jump Shot,2.0,-62.0,200.0,7.0,1.0
114053,2017-04-04,1.0,Jump Shot,2.0,-91.0,139.0,7.0,1.0
120060,2017-03-21,0.0,Floating Jump Shot,3.0,187.0,184.0,7.0,1.0
124566,2016-11-25,0.0,Floating Jump Shot,2.0,107.0,2.0,7.0,1.0
125875,2016-11-14,0.0,Jump Shot,2.0,56.0,184.0,7.0,1.0
126122,2016-12-25,0.0,Turnaround Jump Shot,2.0,-129.0,53.0,7.0,1.0
134731,2017-01-28,0.0,Jump Shot,3.0,2.0,252.0,7.0,1.0
146256,2017-01-30,0.0,Jump Shot,2.0,-202.0,46.0,7.0,1.0
146462,2017-03-06,0.0,Jump Shot,3.0,-55.0,250.0,7.0,1.0
155400,2016-12-28,0.0,Jump Shot,2.0,112.0,44.0,7.0,1.0
160073,2016-11-30,1.0,Step Back Jump Shot,2.0,-63.0,195.0,7.0,1.0
162447,2017-04-08,0.0,Jump Shot,3.0,-161.0,201.0,7.0,1.0
166671,2017-03-06,1.0,Pullup Jump Shot,2.0,-66.0,31.0,7.0,1.0
178432,2017-04-02,0.0,Jump Shot,3.0,-76.0,235.0,7.0,1.0
187319,2016-11-30,0.0,Jump Shot,3.0,248.0,4.0,7.0,1.0
197644,2016-10-25,0.0,Pullup Jump Shot,2.0,-140.0,127.0,7.0,1.0
