AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
4,20181017.0,0.0,Turnaround Jump Shot,2.0,-91.0,87.0,2.0,1.0
13,20181017.0,0.0,Pullup Jump shot,3.0,227.0,63.0,2.0,1.0
17,20181017.0,0.0,Pullup Jump shot,2.0,-29.0,101.0,2.0,1.0
60,20181025.0,1.0,Jump Shot,3.0,148.0,225.0,2.0,1.0
105,20181104.0,1.0,Jump Shot,3.0,-199.0,151.0,2.0,1.0
120,20181105.0,0.0,Jump Shot,3.0,-139.0,213.0,2.0,1.0
131,20181107.0,0.0,Pullup Jump shot,2.0,-54.0,200.0,2.0,1.0
155,20181109.0,1.0,Step Back Jump shot,2.0,-120.0,127.0,2.0,1.0
204,20181118.0,1.0,Fadeaway Jump Shot,2.0,-64.0,114.0,2.0,1.0
239,20181123.0,0.0,Jump Shot,3.0,40.0,248.0,2.0,1.0
294,20181205.0,0.0,Jump Shot,3.0,-228.0,13.0,2.0,1.0
360,20181219.0,0.0,Turnaround Fadeaway shot,2.0,-137.0,6.0,2.0,1.0
376,20181221.0,0.0,Running Pull-Up Jump Shot,3.0,-58.0,252.0,2.0,1.0
392,20181223.0,0.0,Jump Shot,3.0,-169.0,199.0,2.0,1.0
398,20181226.0,0.0,Jump Shot,3.0,58.0,262.0,2.0,1.0
418,20181230.0,0.0,Jump Shot,3.0,125.0,226.0,2.0,1.0
437,20181231.0,0.0,Jump Shot,3.0,-55.0,251.0,2.0,1.0
496,20190109.0,1.0,Jump Shot,3.0,-105.0,227.0,2.0,1.0
532,20190113.0,1.0,Jump Shot,2.0,-88.0,181.0,2.0,1.0
597,20190127.0,1.0,Jump Shot,2.0,-50.0,111.0,2.0,1.0
628,20190131.0,0.0,Pullup Jump shot,2.0,79.0,197.0,2.0,1.0
642,20190202.0,0.0,Jump Bank Shot,2.0,-105.0,63.0,2.0,1.0
648,20190202.0,0.0,Jump Shot,2.0,-82.0,145.0,2.0,1.0
707,20190212.0,0.0,Jump Shot,3.0,79.0,247.0,2.0,1.0
735,20190222.0,1.0,Pullup Jump shot,2.0,98.0,168.0,2.0,1.0
814,20190305.0,1.0,Pullup Jump shot,2.0,-154.0,159.0,2.0,1.0
819,20190305.0,1.0,Jump Shot,3.0,30.0,265.0,2.0,1.0
842,20190308.0,0.0,Jump Shot,3.0,-143.0,201.0,2.0,1.0
880,20190314.0,1.0,Jump Shot,3.0,226.0,15.0,2.0,1.0
906,20190317.0,0.0,Jump Shot,3.0,233.0,52.0,2.0,1.0
