AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
1873,20190119.0,1.0,Jump Shot,2.0,-163.0,46.0,6.0,1.0
2105,20190306.0,0.0,Jump Shot,2.0,-51.0,164.0,6.0,1.0
11710,20190212.0,0.0,Pullup Jump shot,2.0,157.0,83.0,6.0,1.0
13870,20181123.0,0.0,Pullup Jump shot,3.0,131.0,216.0,6.0,1.0
16141,20190101.0,0.0,Jump Shot,3.0,109.0,231.0,6.0,1.0
17629,20190324.0,0.0,Pullup Jump shot,3.0,157.0,217.0,6.0,1.0
20209,20190301.0,0.0,Jump Shot,3.0,232.0,-7.0,6.0,1.0
24994,20181102.0,0.0,Jump Shot,3.0,80.0,238.0,6.0,1.0
27566,20190317.0,0.0,Jump Shot,3.0,-183.0,211.0,6.0,1.0
28748,20190130.0,1.0,Driving Floating Jump Shot,2.0,-37.0,87.0,6.0,1.0
29005,20190309.0,0.0,Jump Shot,3.0,115.0,229.0,6.0,1.0
29028,20190312.0,1.0,Jump Shot,3.0,76.0,247.0,6.0,1.0
34047,20181207.0,0.0,Pullup Jump shot,2.0,-79.0,-1.0,6.0,1.0
34366,20190118.0,1.0,Floating Jump shot,2.0,-33.0,91.0,6.0,1.0
34633,20190221.0,1.0,Driving Floating Jump Shot,2.0,-40.0,109.0,6.0,1.0
35073,20190406.0,0.0,Jump Shot,2.0,90.0,99.0,6.0,1.0
36267,20190210.0,1.0,Pullup Jump shot,3.0,-156.0,204.0,6.0,1.0
39170,20190119.0,1.0,Jump Shot,3.0,240.0,22.0,6.0,1.0
49510,20190129.0,1.0,Jump Shot,3.0,-172.0,169.0,6.0,1.0
49519,20190201.0,1.0,Jump Shot,3.0,-152.0,206.0,6.0,1.0
51996,20181215.0,0.0,Pullup Jump shot,3.0,-45.0,259.0,6.0,1.0
52249,20190223.0,0.0,Jump Shot,3.0,-127.0,221.0,6.0,1.0
64076,20181221.0,0.0,Pullup Jump shot,2.0,-55.0,176.0,6.0,1.0
66889,20190303.0,1.0,Jump Shot,3.0,-57.0,275.0,6.0,1.0
68352,20190305.0,0.0,Pullup Jump shot,2.0,-61.0,212.0,6.0,1.0
68418,20190320.0,0.0,Jump Shot,3.0,88.0,258.0,6.0,1.0
68993,20190405.0,0.0,Pullup Jump shot,2.0,163.0,63.0,6.0,1.0
72480,20181105.0,0.0,Driving Floating Jump Shot,2.0,35.0,22.0,6.0,1.0
76530,20190405.0,0.0,Jump Shot,2.0,-76.0,169.0,6.0,1.0
77473,20181231.0,1.0,Running Pull-Up Jump Shot,3.0,-185.0,171.0,6.0,1.0
84367,20190213.0,0.0,Jump Shot,3.0,142.0,209.0,6.0,1.0
85215,20190312.0,0.0,Pullup Jump shot,3.0,-152.0,203.0,6.0,1.0
85862,20190409.0,1.0,Pullup Jump shot,2.0,57.0,165.0,6.0,1.0
97529,20181121.0,1.0,Pullup Jump shot,3.0,116.0,226.0,6.0,1.0
98969,20181128.0,0.0,Jump Shot,3.0,-199.0,183.0,6.0,1.0
99809,20181110.0,0.0,Pullup Jump shot,3.0,131.0,212.0,6.0,1.0
101658,20181017.0,0.0,Jump Shot,3.0,69.0,265.0,6.0,1.0
106355,20190302.0,0.0,Turnaround Fadeaway shot,2.0,0.0,67.0,6.0,1.0
106438,20190320.0,0.0,Jump Shot,2.0,114.0,34.0,6.0,1.0
108219,20181228.0,1.0,Floating Jump shot,2.0,-27.0,75.0,6.0,1.0
123169,20190311.0,1.0,Pullup Jump shot,3.0,117.0,235.0,6.0,1.0
125729,20181112.0,0.0,Fadeaway Jump Shot,2.0,-1.0,97.0,6.0,1.0
126329,20190115.0,0.0,Pullup Jump shot,3.0,130.0,206.0,6.0,1.0
126532,20190210.0,0.0,Jump Shot,3.0,-105.0,234.0,6.0,1.0
126797,20190327.0,0.0,Turnaround Jump Shot,2.0,36.0,98.0,6.0,1.0
129695,20181229.0,1.0,Jump Shot,3.0,-136.0,224.0,6.0,1.0
129724,20190105.0,1.0,Jump Shot,3.0,139.0,250.0,6.0,1.0
130297,20190328.0,1.0,Driving Floating Jump Shot,2.0,0.0,112.0,6.0,1.0
130569,20181029.0,0.0,Jump Shot,3.0,-133.0,249.0,6.0,1.0
131320,20190121.0,1.0,Jump Shot,3.0,-62.0,247.0,6.0,1.0
131398,20190208.0,0.0,Pullup Jump shot,2.0,68.0,143.0,6.0,1.0
131578,20190308.0,0.0,Jump Shot,3.0,-177.0,197.0,6.0,1.0
131730,20190324.0,1.0,Pullup Jump shot,2.0,143.0,29.0,6.0,1.0
134426,20181026.0,0.0,Pullup Jump shot,2.0,24.0,150.0,6.0,1.0
135453,20181116.0,0.0,Pullup Jump shot,2.0,47.0,206.0,6.0,1.0
135953,20190119.0,1.0,Pullup Jump shot,3.0,-89.0,281.0,6.0,1.0
136925,20181213.0,0.0,Jump Shot,2.0,-128.0,64.0,6.0,1.0
140186,20181221.0,0.0,Turnaround Jump Shot,2.0,-9.0,105.0,6.0,1.0
142581,20181028.0,0.0,Jump Shot,3.0,-16.0,262.0,6.0,1.0
142912,20181226.0,0.0,Pullup Jump shot,2.0,-125.0,179.0,6.0,1.0
157842,20190320.0,0.0,Pullup Jump shot,2.0,50.0,215.0,6.0,1.0
160277,20190201.0,0.0,Driving Floating Jump Shot,2.0,-31.0,58.0,6.0,1.0
162132,20190209.0,0.0,Jump Shot,2.0,41.0,197.0,6.0,1.0
164315,20181020.0,1.0,Jump Shot,3.0,115.0,219.0,6.0,1.0
165766,20181126.0,0.0,Jump Shot,3.0,-19.0,269.0,6.0,1.0
169946,20190107.0,0.0,Jump Shot,3.0,232.0,1.0,6.0,1.0
175284,20190405.0,0.0,Turnaround Fadeaway shot,2.0,-3.0,64.0,6.0,1.0
177842,20190129.0,1.0,Pullup Jump shot,2.0,-123.0,131.0,6.0,1.0
180832,20181021.0,0.0,Jump Shot,3.0,-227.0,16.0,6.0,1.0
183068,20181217.0,0.0,Pullup Jump shot,3.0,-217.0,114.0,6.0,1.0
183300,20190207.0,0.0,Pullup Jump shot,2.0,153.0,16.0,6.0,1.0
186996,20181107.0,0.0,Driving Hook Shot,2.0,33.0,17.0,6.0,1.0
187537,20190211.0,0.0,Hook Shot,2.0,-40.0,81.0,6.0,1.0
188364,20181229.0,0.0,Jump Shot,3.0,135.0,228.0,6.0,1.0
188730,20181112.0,0.0,Jump Shot,3.0,-231.0,28.0,6.0,1.0
192700,20190116.0,0.0,Jump Shot,3.0,107.0,246.0,6.0,1.0
192783,20190128.0,0.0,Pullup Jump shot,2.0,163.0,169.0,6.0,1.0
194893,20190212.0,0.0,Fadeaway Jump Shot,2.0,-20.0,83.0,6.0,1.0
197432,20181123.0,0.0,Jump Shot,3.0,139.0,217.0,6.0,1.0
197679,20190107.0,0.0,Jump Shot,3.0,-113.0,224.0,6.0,1.0
197921,20190209.0,0.0,Jump Shot,3.0,-27.0,290.0,6.0,1.0
206067,20190126.0,0.0,Pullup Jump shot,3.0,-8.0,249.0,6.0,1.0
213472,20190328.0,1.0,Floating Jump shot,2.0,28.0,31.0,6.0,1.0
214955,20181106.0,0.0,Jump Shot,3.0,108.0,230.0,6.0,1.0
217505,20190206.0,1.0,Jump Shot,3.0,58.0,242.0,6.0,1.0
218141,20181022.0,0.0,Pullup Jump shot,3.0,127.0,222.0,6.0,1.0
218612,20181213.0,0.0,Pullup Jump shot,2.0,33.0,146.0,6.0,1.0
140,2016-11-30,0.0,Jump Shot,3.0,-179.0,247.0,6.0,1.0
659,2016-12-26,0.0,Pullup Jump Shot,2.0,133.0,147.0,6.0,1.0
5117,2017-03-07,1.0,Jump Shot,3.0,-107.0,247.0,6.0,1.0
8217,2016-11-17,1.0,Jump Shot,2.0,84.0,137.0,6.0,1.0
