AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
3711,20181030.0,1.0,Cutting Dunk Shot,2.0,-5.0,13.0,6.0,1.0
5813,20181027.0,0.0,Cutting Dunk Shot,2.0,-2.0,18.0,6.0,1.0
6434,20190208.0,1.0,Cutting Layup Shot,2.0,9.0,2.0,6.0,1.0
6702,20190328.0,1.0,Tip Layup Shot,2.0,0.0,-6.0,6.0,1.0
9653,20190208.0,1.0,Layup Shot,2.0,-19.0,0.0,6.0,1.0
13281,20190319.0,1.0,Cutting Dunk Shot,2.0,10.0,7.0,6.0,1.0
29503,20181108.0,1.0,Dunk Shot,2.0,2.0,1.0,6.0,1.0
29547,20181113.0,1.0,Dunk Shot,2.0,-6.0,11.0,6.0,1.0
29566,20181117.0,0.0,Alley Oop Layup shot,2.0,-21.0,27.0,6.0,1.0
29585,20181123.0,1.0,Layup Shot,2.0,7.0,14.0,6.0,1.0
29646,20181130.0,1.0,Running Finger Roll Layup Shot,2.0,15.0,18.0,6.0,1.0
29673,20181203.0,1.0,Cutting Dunk Shot,2.0,3.0,8.0,6.0,1.0
30030,20190320.0,1.0,Alley Oop Dunk Shot,2.0,-7.0,-1.0,6.0,1.0
30135,20181019.0,0.0,Layup Shot,2.0,-22.0,4.0,6.0,1.0
30422,20190225.0,1.0,Dunk Shot,2.0,7.0,22.0,6.0,1.0
44080,20181027.0,1.0,Layup Shot,2.0,0.0,-6.0,6.0,1.0
45119,20181228.0,1.0,Alley Oop Dunk Shot,2.0,-2.0,0.0,6.0,1.0
50864,20181212.0,1.0,Tip Layup Shot,2.0,11.0,21.0,6.0,1.0
51108,20190222.0,1.0,Driving Layup Shot,2.0,-8.0,10.0,6.0,1.0
56346,20181031.0,1.0,Cutting Finger Roll Layup Shot,2.0,-1.0,31.0,6.0,1.0
60622,20181116.0,0.0,Driving Layup Shot,2.0,-2.0,15.0,6.0,1.0
60981,20190306.0,1.0,Driving Layup Shot,2.0,24.0,20.0,6.0,1.0
61100,20190407.0,1.0,Alley Oop Dunk Shot,2.0,6.0,0.0,6.0,1.0
62862,20190221.0,0.0,Layup Shot,2.0,-25.0,6.0,6.0,1.0
64632,20181104.0,0.0,Layup Shot,2.0,27.0,64.0,6.0,1.0
65048,20190312.0,0.0,Layup Shot,2.0,-10.0,-1.0,6.0,1.0
73834,20181123.0,1.0,Alley Oop Dunk Shot,2.0,-5.0,7.0,6.0,1.0
74647,20190322.0,1.0,Dunk Shot,2.0,2.0,8.0,6.0,1.0
78231,20190202.0,1.0,Running Dunk Shot,2.0,-8.0,16.0,6.0,1.0
79008,20190328.0,1.0,Putback Layup Shot,2.0,-27.0,11.0,6.0,1.0
81358,20181227.0,1.0,Cutting Layup Shot,2.0,-12.0,16.0,6.0,1.0
82638,20190306.0,1.0,Alley Oop Layup shot,2.0,-13.0,10.0,6.0,1.0
