AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
143,20181107.0,0.0,Dunk Shot,2.0,51.0,25.0,4.0,1.0
1042,20190410.0,1.0,Dunk Shot,2.0,0.0,12.0,4.0,1.0
1747,20181206.0,1.0,Cutting Layup Shot,2.0,2.0,10.0,4.0,1.0
3130,20181228.0,0.0,Driving Layup Shot,2.0,-29.0,17.0,4.0,1.0
3709,20181030.0,1.0,Cutting Dunk Shot,2.0,0.0,0.0,4.0,1.0
3924,20190102.0,0.0,Tip Layup Shot,2.0,-2.0,13.0,4.0,1.0
5809,20181025.0,1.0,Dunk Shot,2.0,-4.0,14.0,4.0,1.0
5853,20181031.0,1.0,Tip Layup Shot,2.0,0.0,-6.0,4.0,1.0
5881,20181107.0,1.0,Tip Layup Shot,2.0,0.0,-6.0,4.0,1.0
6280,20190109.0,1.0,Reverse Layup Shot,2.0,-8.0,25.0,4.0,1.0
6390,20190131.0,1.0,Layup Shot,2.0,3.0,9.0,4.0,1.0
6406,20190204.0,1.0,Putback Layup Shot,2.0,-4.0,-1.0,4.0,1.0
6432,20190208.0,1.0,Cutting Dunk Shot,2.0,-1.0,8.0,4.0,1.0
6453,20190211.0,1.0,Layup Shot,2.0,-15.0,14.0,4.0,1.0
6493,20190225.0,0.0,Layup Shot,2.0,-1.0,1.0,4.0,1.0
6558,20190306.0,1.0,Layup Shot,2.0,16.0,5.0,4.0,1.0
6581,20190311.0,1.0,Tip Layup Shot,2.0,20.0,19.0,4.0,1.0
6656,20190321.0,0.0,Driving Layup Shot,2.0,-18.0,16.0,4.0,1.0
6699,20190328.0,1.0,Running Alley Oop Dunk Shot,2.0,-9.0,11.0,4.0,1.0
6715,20190330.0,1.0,Dunk Shot,2.0,-1.0,22.0,4.0,1.0
6743,20190403.0,1.0,Cutting Layup Shot,2.0,0.0,21.0,4.0,1.0
8500,20181126.0,0.0,Putback Layup Shot,2.0,5.0,1.0,4.0,1.0
8585,20190119.0,1.0,Layup Shot,2.0,-17.0,13.0,4.0,1.0
8684,20190221.0,0.0,Layup Shot,2.0,12.0,9.0,4.0,1.0
8823,20181019.0,0.0,Layup Shot,2.0,-25.0,13.0,4.0,1.0
8981,20181114.0,1.0,Driving Reverse Layup Shot,2.0,-3.0,10.0,4.0,1.0
9018,20181116.0,1.0,Alley Oop Dunk Shot,2.0,0.0,-6.0,4.0,1.0
9303,20181212.0,1.0,Putback Dunk Shot,2.0,0.0,-6.0,4.0,1.0
9651,20190208.0,1.0,Cutting Layup Shot,2.0,-3.0,27.0,4.0,1.0
9714,20190227.0,1.0,Layup Shot,2.0,-18.0,22.0,4.0,1.0
10567,20181130.0,0.0,Cutting Dunk Shot,2.0,-15.0,1.0,4.0,1.0
12014,20181208.0,1.0,Cutting Dunk Shot,2.0,5.0,25.0,4.0,1.0
12061,20181228.0,1.0,Tip Dunk Shot,2.0,0.0,-6.0,4.0,1.0
12224,20190308.0,1.0,Dunk Shot,2.0,9.0,31.0,4.0,1.0
12535,20181104.0,0.0,Driving Layup Shot,2.0,18.0,-4.0,4.0,1.0
12656,20181123.0,1.0,Driving Layup Shot,2.0,-13.0,8.0,4.0,1.0
12794,20181222.0,0.0,Driving Reverse Layup Shot,2.0,13.0,7.0,4.0,1.0
12800,20181225.0,1.0,Driving Finger Roll Layup Shot,2.0,-19.0,20.0,4.0,1.0
12915,20190111.0,1.0,Driving Layup Shot,2.0,15.0,8.0,4.0,1.0
