AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
29650,20181130.0,0.0,Alley Oop Layup shot,2.0,29.0,26.0,8.0,1.0
30424,20190225.0,1.0,Dunk Shot,2.0,3.0,13.0,8.0,1.0
44082,20181027.0,1.0,Layup Shot,2.0,-3.0,27.0,8.0,1.0
56349,20181102.0,0.0,Layup Shot,2.0,-11.0,22.0,8.0,1.0
60983,20190306.0,0.0,Cutting Layup Shot,2.0,27.0,5.0,8.0,1.0
73836,20181124.0,1.0,Driving Layup Shot,2.0,-2.0,-1.0,8.0,1.0
79010,20190328.0,0.0,Alley Oop Layup shot,2.0,-16.0,8.0,8.0,1.0
81360,20181227.0,0.0,Tip Layup Shot,2.0,0.0,-6.0,8.0,1.0
95992,20190115.0,1.0,Tip Layup Shot,2.0,0.0,-6.0,8.0,1.0
104025,20190115.0,0.0,Layup Shot,2.0,36.0,50.0,8.0,1.0
123665,20190213.0,0.0,Tip Layup Shot,2.0,0.0,-6.0,8.0,1.0
161183,20190225.0,1.0,Cutting Layup Shot,2.0,-30.0,23.0,8.0,1.0
183563,20181027.0,1.0,Cutting Dunk Shot,2.0,-6.0,10.0,8.0,1.0
184155,20190323.0,1.0,Alley Oop Dunk Shot,2.0,-11.0,1.0,8.0,1.0
200074,20181222.0,1.0,Cutting Dunk Shot,2.0,8.0,8.0,8.0,1.0
216487,20190121.0,1.0,Tip Layup Shot,2.0,0.0,-6.0,8.0,1.0
30109,2017-02-25,0.0,Tip Layup Shot,2.0,-15.0,15.0,8.0,1.0
30242,2017-03-28,1.0,Layup,2.0,9.0,-3.0,8.0,1.0
30302,2017-04-12,1.0,Dunk,2.0,0.0,4.0,8.0,1.0
40824,2016-12-10,1.0,Alley Oop Dunk,2.0,0.0,4.0,8.0,1.0
40950,2017-01-14,1.0,Alley Oop Dunk,2.0,0.0,4.0,8.0,1.0
41066,2017-02-26,1.0,Dunk,2.0,0.0,11.0,8.0,1.0
41109,2017-03-08,1.0,Layup,2.0,10.0,12.0,8.0,1.0
55035,2016-12-28,1.0,Putback Dunk,2.0,0.0,11.0,8.0,1.0
89866,2016-12-17,1.0,Alley Oop Dunk,2.0,0.0,4.0,8.0,1.0
110190,2017-04-09,1.0,Driving Layup,2.0,-13.0,10.0,8.0,1.0
129942,2017-04-07,0.0,Driving Layup,2.0,2.0,2.0,8.0,1.0
135582,2017-01-24,0.0,Layup,2.0,-19.0,-3.0,8.0,1.0
172615,2016-12-10,1.0,Putback Layup,2.0,84.0,26.0,8.0,1.0
172990,2017-03-22,1.0,Tip Layup Shot,2.0,9.0,26.0,8.0,1.0
184677,2016-12-11,1.0,Layup,2.0,10.0,5.0,8.0,1.0
184774,2017-01-02,1.0,Reverse Layup,2.0,-6.0,9.0,8.0,1.0
201882,2017-01-26,1.0,Layup,2.0,24.0,10.0,8.0,1.0
