AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
58,20181025.0,1.0,Driving Layup Shot,2.0,-5.0,5.0,2.0,1.0
65,20181027.0,0.0,Driving Layup Shot,2.0,8.0,41.0,2.0,1.0
141,20181107.0,1.0,Layup Shot,2.0,-40.0,31.0,2.0,1.0
163,20181112.0,1.0,Driving Dunk Shot,2.0,-15.0,16.0,2.0,1.0
174,20181114.0,0.0,Layup Shot,2.0,2.0,27.0,2.0,1.0
235,20181123.0,1.0,Driving Dunk Shot,2.0,-4.0,20.0,2.0,1.0
266,20181130.0,0.0,Driving Layup Shot,2.0,6.0,4.0,2.0,1.0
285,20181204.0,0.0,Layup Shot,2.0,-8.0,13.0,2.0,1.0
417,20181230.0,1.0,Cutting Dunk Shot,2.0,10.0,18.0,2.0,1.0
449,20190102.0,0.0,Driving Layup Shot,2.0,2.0,27.0,2.0,1.0
525,20190113.0,0.0,Tip Layup Shot,2.0,0.0,-6.0,2.0,1.0
550,20190116.0,0.0,Driving Layup Shot,2.0,-8.0,23.0,2.0,1.0
561,20190118.0,1.0,Cutting Dunk Shot,2.0,-8.0,11.0,2.0,1.0
572,20190123.0,1.0,Running Dunk Shot,2.0,-3.0,10.0,2.0,1.0
587,20190125.0,1.0,Driving Layup Shot,2.0,9.0,10.0,2.0,1.0
771,20190228.0,1.0,Cutting Dunk Shot,2.0,0.0,22.0,2.0,1.0
859,20190310.0,0.0,Dunk Shot,2.0,10.0,23.0,2.0,1.0
900,20190317.0,1.0,Running Layup Shot,2.0,11.0,8.0,2.0,1.0
1025,20190407.0,0.0,Tip Layup Shot,2.0,0.0,-6.0,2.0,1.0
1039,20190410.0,1.0,Driving Layup Shot,2.0,-9.0,15.0,2.0,1.0
1097,20181126.0,1.0,Running Layup Shot,2.0,-9.0,21.0,2.0,1.0
1248,20190310.0,0.0,Driving Layup Shot,2.0,-26.0,15.0,2.0,1.0
1329,20181228.0,1.0,Driving Layup Shot,2.0,-4.0,9.0,2.0,1.0
1369,20190110.0,1.0,Putback Dunk Shot,2.0,0.0,-6.0,2.0,1.0
1374,20190112.0,1.0,Driving Layup Shot,2.0,21.0,11.0,2.0,1.0
1521,20190410.0,1.0,Driving Layup Shot,2.0,8.0,43.0,2.0,1.0
1526,20181016.0,1.0,Driving Finger Roll Layup Shot,2.0,-9.0,7.0,2.0,1.0
1618,20181103.0,0.0,Driving Layup Shot,2.0,13.0,0.0,2.0,1.0
1744,20181206.0,1.0,Alley Oop Dunk Shot,2.0,0.0,26.0,2.0,1.0
1827,20190109.0,0.0,Alley Oop Layup shot,2.0,15.0,3.0,2.0,1.0
1861,20190116.0,1.0,Cutting Layup Shot,2.0,3.0,6.0,2.0,1.0
2078,20190301.0,1.0,Cutting Layup Shot,2.0,15.0,2.0,2.0,1.0
2132,20190314.0,1.0,Alley Oop Dunk Shot,2.0,16.0,11.0,2.0,1.0
2182,20190329.0,1.0,Cutting Dunk Shot,2.0,11.0,-1.0,2.0,1.0
2188,20190329.0,1.0,Driving Finger Roll Layup Shot,2.0,16.0,0.0,2.0,1.0
2399,20181130.0,1.0,Running Layup Shot,2.0,-15.0,1.0,2.0,1.0
2404,20181202.0,1.0,Driving Layup Shot,2.0,-1.0,50.0,2.0,1.0
2428,20181208.0,1.0,Driving Layup Shot,2.0,20.0,31.0,2.0,1.0
2587,20190116.0,1.0,Cutting Layup Shot,2.0,-8.0,1.0,2.0,1.0
2619,20190126.0,1.0,Driving Reverse Layup Shot,2.0,19.0,-3.0,2.0,1.0
2634,20190207.0,1.0,Driving Layup Shot,2.0,16.0,-3.0,2.0,1.0
2648,20190213.0,1.0,Driving Dunk Shot,2.0,2.0,1.0,2.0,1.0
2666,20190223.0,1.0,Cutting Dunk Shot,2.0,1.0,13.0,2.0,1.0
2670,20190225.0,1.0,Driving Dunk Shot,2.0,-3.0,-1.0,2.0,1.0
2698,20190305.0,1.0,Driving Finger Roll Layup Shot,2.0,-8.0,-6.0,2.0,1.0
2828,20190407.0,1.0,Reverse Layup Shot,2.0,6.0,6.0,2.0,1.0
2835,20190409.0,0.0,Running Layup Shot,2.0,17.0,38.0,2.0,1.0
2953,20181125.0,1.0,Layup Shot,2.0,3.0,28.0,2.0,1.0
2983,20181201.0,1.0,Cutting Layup Shot,2.0,5.0,21.0,2.0,1.0
3023,20181207.0,0.0,Driving Layup Shot,2.0,7.0,11.0,2.0,1.0
3100,20181221.0,0.0,Finger Roll Layup Shot,2.0,-12.0,12.0,2.0,1.0
3115,20181226.0,0.0,Layup Shot,2.0,-6.0,11.0,2.0,1.0
3128,20181228.0,1.0,Driving Layup Shot,2.0,-22.0,11.0,2.0,1.0
3185,20190108.0,1.0,Tip Layup Shot,2.0,0.0,-6.0,2.0,1.0
3309,20190208.0,1.0,Putback Layup Shot,2.0,5.0,11.0,2.0,1.0
3366,20181101.0,1.0,Running Layup Shot,2.0,6.0,12.0,2.0,1.0
3502,20190314.0,1.0,Layup Shot,2.0,12.0,9.0,2.0,1.0
3505,20190314.0,1.0,Driving Finger Roll Layup Shot,2.0,17.0,8.0,2.0,1.0
3517,20190315.0,0.0,Driving Layup Shot,2.0,30.0,25.0,2.0,1.0
3620,20190407.0,0.0,Driving Dunk Shot,2.0,-11.0,12.0,2.0,1.0
3676,20181021.0,1.0,Dunk Shot,2.0,6.0,10.0,2.0,1.0
3699,20181029.0,1.0,Tip Dunk Shot,2.0,0.0,-6.0,2.0,1.0
3707,20181030.0,1.0,Layup Shot,2.0,-11.0,-1.0,2.0,1.0
3726,20181106.0,0.0,Reverse Layup Shot,2.0,8.0,11.0,2.0,1.0
3738,20181107.0,0.0,Driving Layup Shot,2.0,-3.0,70.0,2.0,1.0
3761,20181111.0,1.0,Dunk Shot,2.0,12.0,11.0,2.0,1.0
3766,20181113.0,1.0,Layup Shot,2.0,4.0,26.0,2.0,1.0
3818,20181130.0,0.0,Cutting Dunk Shot,2.0,15.0,11.0,2.0,1.0
3845,20181214.0,1.0,Cutting Dunk Shot,2.0,-6.0,22.0,2.0,1.0
3857,20181221.0,0.0,Driving Dunk Shot,2.0,-16.0,14.0,2.0,1.0
3882,20181223.0,0.0,Tip Layup Shot,2.0,0.0,-6.0,2.0,1.0
3909,20181231.0,0.0,Layup Shot,2.0,-11.0,1.0,2.0,1.0
