AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
1749,20181206.0,1.0,Cutting Finger Roll Layup Shot,2.0,13.0,10.0,5.0,1.0
3710,20181030.0,1.0,Alley Oop Dunk Shot,2.0,-2.0,7.0,5.0,1.0
5810,20181025.0,1.0,Layup Shot,2.0,13.0,16.0,5.0,1.0
6391,20190202.0,1.0,Putback Layup Shot,2.0,-2.0,7.0,5.0,1.0
6408,20190204.0,0.0,Alley Oop Layup shot,2.0,-52.0,3.0,5.0,1.0
6433,20190208.0,1.0,Tip Layup Shot,2.0,0.0,-6.0,5.0,1.0
6701,20190328.0,1.0,Tip Layup Shot,2.0,0.0,-6.0,5.0,1.0
6716,20190330.0,0.0,Layup Shot,2.0,-9.0,13.0,5.0,1.0
6744,20190403.0,0.0,Layup Shot,2.0,19.0,14.0,5.0,1.0
8586,20190119.0,0.0,Cutting Layup Shot,2.0,3.0,40.0,5.0,1.0
9652,20190208.0,1.0,Alley Oop Dunk Shot,2.0,-6.0,0.0,5.0,1.0
12015,20181210.0,1.0,Alley Oop Dunk Shot,2.0,-1.0,4.0,5.0,1.0
12225,20190310.0,1.0,Tip Layup Shot,2.0,0.0,-6.0,5.0,1.0
12916,20190111.0,0.0,Tip Layup Shot,2.0,0.0,-6.0,5.0,1.0
12962,20190121.0,0.0,Putback Dunk Shot,2.0,0.0,-6.0,5.0,1.0
12985,20190123.0,0.0,Driving Layup Shot,2.0,-33.0,40.0,5.0,1.0
13280,20190319.0,1.0,Cutting Layup Shot,2.0,13.0,10.0,5.0,1.0
14941,20181019.0,0.0,Cutting Dunk Shot,2.0,8.0,20.0,5.0,1.0
29441,20181024.0,1.0,Alley Oop Dunk Shot,2.0,22.0,4.0,5.0,1.0
29501,20181105.0,1.0,Alley Oop Dunk Shot,2.0,8.0,8.0,5.0,1.0
29546,20181113.0,1.0,Running Dunk Shot,2.0,4.0,1.0,5.0,1.0
29565,20181117.0,1.0,Cutting Layup Shot,2.0,-9.0,16.0,5.0,1.0
29577,20181121.0,0.0,Tip Layup Shot,2.0,-8.0,4.0,5.0,1.0
29584,20181121.0,1.0,Alley Oop Dunk Shot,2.0,3.0,14.0,5.0,1.0
29631,20181128.0,0.0,Alley Oop Layup shot,2.0,8.0,8.0,5.0,1.0
