AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
6435,20190208.0,1.0,Cutting Layup Shot,2.0,-21.0,9.0,7.0,1.0
6703,20190328.0,0.0,Alley Oop Layup shot,2.0,24.0,9.0,7.0,1.0
13282,20190320.0,1.0,Finger Roll Layup Shot,2.0,-14.0,7.0,7.0,1.0
29549,20181115.0,0.0,Layup Shot,2.0,40.0,13.0,7.0,1.0
29649,20181130.0,1.0,Cutting Layup Shot,2.0,19.0,7.0,7.0,1.0
29674,20181203.0,0.0,Layup Shot,2.0,18.0,25.0,7.0,1.0
30423,20190225.0,1.0,Dunk Shot,2.0,5.0,5.0,7.0,1.0
44081,20181027.0,1.0,Alley Oop Dunk Shot,2.0,-15.0,0.0,7.0,1.0
51109,20190222.0,1.0,Cutting Layup Shot,2.0,21.0,4.0,7.0,1.0
56347,20181031.0,1.0,Layup Shot,2.0,-2.0,18.0,7.0,1.0
60982,20190306.0,1.0,Tip Dunk Shot,2.0,0.0,-6.0,7.0,1.0
73835,20181123.0,1.0,Driving Layup Shot,2.0,0.0,15.0,7.0,1.0
74649,20190322.0,1.0,Driving Layup Shot,2.0,5.0,9.0,7.0,1.0
79009,20190328.0,1.0,Alley Oop Dunk Shot,2.0,2.0,16.0,7.0,1.0
81359,20181227.0,1.0,Reverse Layup Shot,2.0,-19.0,11.0,7.0,1.0
82640,20190308.0,0.0,Driving Layup Shot,2.0,-18.0,4.0,7.0,1.0
92304,20190304.0,1.0,Alley Tip Dunk Shot,2.0,0.0,-6.0,7.0,1.0
73835,20181123.0,1.0,Driving Layup Shot,2.0,0.0,15.0,7.0,1.0
74649,20190322.0,1.0,Driving Layup Shot,2.0,5.0,9.0,7.0,1.0
79009,20190328.0,1.0,Oop Dunk Shot,2.0,1.0,17.0,7.0,1.0
95991,20190115.0,1.0,Running Dunk Shot,2.0,0.0,2.0,7.0,1.0
104024,20190115.0,1.0,Cutting Layup Shot,2.0,1.0,14.0,7.0,1.0
114530,20190315.0,0.0,Layup Shot,2.0,6.0,36.0,7.0,1.0
123664,20190213.0,1.0,Tip Layup Shot,2.0,0.0,-6.0,7.0,1.0
128965,20190128.0,1.0,Layup Shot,2.0,3.0,2.0,7.0,1.0
146224,20190109.0,0.0,Driving Layup Shot,2.0,52.0,35.0,7.0,1.0
159554,20190328.0,0.0,Reverse Layup Shot,2.0,-21.0,36.0,7.0,1.0
161182,20190225.0,1.0,Cutting Dunk Shot,2.0,-3.0,7.0,7.0,1.0
183562,20181027.0,1.0,Alley Oop Dunk Shot,2.0,-8.0,4.0,7.0,1.0
183577,20181028.0,0.0,Alley Oop Dunk Shot,2.0,-8.0,3.0,7.0,1.0
184027,20190223.0,1.0,Alley Oop Dunk Shot,2.0,20.0,6.0,7.0,1.0
184154,20190323.0,1.0,Dunk Shot,2.0,-2.0,2.0,7.0,1.0
184205,20190405.0,1.0,Cutting Dunk Shot,2.0,11.0,52.0,7.0,1.0
186984,20181104.0,1.0,Putback Layup Shot,2.0,-2.0,5.0,7.0,1.0
200073,20181222.0,1.0,Cutting Dunk Shot,2.0,9.0,13.0,7.0,1.0
200448,20190403.0,0.0,Driving Layup Shot,2.0,-30.0,68.0,7.0,1.0
216486,20190121.0,1.0,Cutting Dunk Shot,2.0,-2.0,3.0,7.0,1.0
19167,2017-02-13,0.0,Alley Oop Layup,2.0,2.0,12.0,7.0,1.0
30108,2017-02-25,1.0,Cutting Dunk Shot,2.0,0.0,11.0,7.0,1.0
30241,2017-03-28,1.0,Alley Oop Dunk,2.0,0.0,4.0,7.0,1.0
30291,2017-04-12,1.0,Alley Oop Dunk,2.0,0.0,11.0,7.0,1.0
30301,2017-04-12,1.0,Alley Oop Dunk,2.0,0.0,4.0,7.0,1.0
30684,2017-03-26,0.0,Layup,2.0,-6.0,12.0,7.0,1.0
40823,2016-12-10,1.0,Layup,2.0,10.0,19.0,7.0,1.0
40897,2016-12-30,0.0,Tip Layup Shot,2.0,3.0,20.0,7.0,1.0
40949,2017-01-14,1.0,Putback Layup,2.0,-4.0,3.0,7.0,1.0
40962,2017-01-19,1.0,Cutting Dunk Shot,2.0,0.0,11.0,7.0,1.0
41027,2017-02-11,1.0,Dunk,2.0,0.0,4.0,7.0,1.0
41065,2017-02-26,1.0,Running Alley Oop Dunk Shot,2.0,0.0,11.0,7.0,1.0
41108,2017-03-08,1.0,Alley Oop Dunk,2.0,0.0,11.0,7.0,1.0
41193,2017-03-30,1.0,Tip Layup Shot,2.0,0.0,4.0,7.0,1.0
55034,2016-12-26,1.0,Layup,2.0,10.0,12.0,7.0,1.0
59620,2017-03-27,0.0,Driving Layup,2.0,-20.0,21.0,7.0,1.0
82511,2016-12-03,1.0,Layup,2.0,-7.0,12.0,7.0,1.0
89865,2016-12-15,1.0,Layup,2.0,6.0,19.0,7.0,1.0
110189,2017-04-09,1.0,Layup,2.0,8.0,13.0,7.0,1.0
114331,2017-01-16,1.0,Cutting Finger Roll Layup Shot,2.0,6.0,10.0,7.0,1.0
129941,2017-04-07,1.0,Driving Layup,2.0,0.0,2.0,7.0,1.0
131379,2016-12-05,1.0,Putback Layup,2.0,18.0,17.0,7.0,1.0
135581,2017-01-24,1.0,Cutting Finger Roll Layup Shot,2.0,0.0,2.0,7.0,1.0
135673,2017-02-13,0.0,Layup,2.0,-12.0,2.0,7.0,1.0
172614,2016-12-10,1.0,Alley Oop Dunk,2.0,0.0,11.0,7.0,1.0
172763,2017-01-20,0.0,Driving Reverse Layup,2.0,6.0,17.0,7.0,1.0
172989,2017-03-22,1.0,Dunk,2.0,0.0,11.0,7.0,1.0
175909,2017-02-06,1.0,Layup,2.0,15.0,10.0,7.0,1.0
184676,2016-12-11,1.0,Reverse Layup,2.0,-24.0,10.0,7.0,1.0
184773,2017-01-02,1.0,Layup,2.0,-4.0,10.0,7.0,1.0
201881,2017-01-24,1.0,Tip Layup Shot,2.0,6.0,6.0,7.0,1.0
