AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
32,20181020.0,1.0,Putback Layup Shot,2.0,12.0,21.0,1.0,1.0
36,20181020.0,1.0,Driving Layup Shot,2.0,-14.0,17.0,1.0,1.0
57,20181025.0,1.0,Driving Layup Shot,2.0,-3.0,0.0,1.0,1.0
64,20181027.0,1.0,Alley Oop Dunk Shot,2.0,-6.0,4.0,1.0,1.0
79,20181030.0,1.0,Running Alley Oop Dunk Shot,2.0,14.0,15.0,1.0,1.0
87,20181030.0,0.0,Layup Shot,2.0,-18.0,34.0,1.0,1.0
99,20181104.0,1.0,Driving Layup Shot,2.0,-10.0,3.0,1.0,1.0
107,20181104.0,0.0,Layup Shot,2.0,0.0,29.0,1.0,1.0
116,20181105.0,1.0,Cutting Layup Shot,2.0,19.0,19.0,1.0,1.0
139,20181107.0,1.0,Driving Reverse Dunk Shot,2.0,-3.0,3.0,1.0,1.0
151,20181109.0,0.0,Cutting Dunk Shot,2.0,-2.0,19.0,1.0,1.0
162,20181112.0,1.0,Driving Reverse Layup Shot,2.0,13.0,27.0,1.0,1.0
172,20181112.0,1.0,Putback Dunk Shot,2.0,0.0,-6.0,1.0,1.0
181,20181114.0,1.0,Layup Shot,2.0,-1.0,15.0,1.0,1.0
186,20181117.0,1.0,Driving Layup Shot,2.0,12.0,5.0,1.0,1.0
192,20181117.0,0.0,Driving Layup Shot,2.0,40.0,38.0,1.0,1.0
196,20181117.0,0.0,Layup Shot,2.0,-13.0,50.0,1.0,1.0
203,20181118.0,1.0,Cutting Dunk Shot,2.0,-10.0,4.0,1.0,1.0
214,20181118.0,1.0,Reverse Layup Shot,2.0,20.0,22.0,1.0,1.0
220,20181120.0,0.0,Running Layup Shot,2.0,33.0,20.0,1.0,1.0
234,20181123.0,1.0,Running Dunk Shot,2.0,-2.0,5.0,1.0,1.0
253,20181125.0,0.0,Running Reverse Layup Shot,2.0,-3.0,11.0,1.0,1.0
255,20181125.0,1.0,Dunk Shot,2.0,12.0,13.0,1.0,1.0
265,20181130.0,1.0,Driving Reverse Layup Shot,2.0,-4.0,5.0,1.0,1.0
271,20181130.0,1.0,Running Dunk Shot,2.0,10.0,1.0,1.0,1.0
284,20181204.0,1.0,Running Dunk Shot,2.0,3.0,10.0,1.0,1.0
288,20181204.0,1.0,Driving Dunk Shot,2.0,2.0,10.0,1.0,1.0
298,20181205.0,0.0,Driving Layup Shot,2.0,-10.0,41.0,1.0,1.0
300,20181205.0,1.0,Cutting Layup Shot,2.0,-6.0,8.0,1.0,1.0
320,20181207.0,1.0,Putback Dunk Shot,2.0,-7.0,23.0,1.0,1.0
357,20181215.0,0.0,Driving Layup Shot,2.0,-11.0,26.0,1.0,1.0
370,20181221.0,0.0,Driving Layup Shot,2.0,-22.0,29.0,1.0,1.0
381,20181221.0,0.0,Driving Layup Shot,2.0,12.0,19.0,1.0,1.0
408,20181228.0,0.0,Tip Layup Shot,2.0,0.0,-6.0,1.0,1.0
414,20181230.0,1.0,Driving Layup Shot,2.0,1.0,22.0,1.0,1.0
431,20181231.0,0.0,Driving Layup Shot,2.0,-14.0,15.0,1.0,1.0
444,20190102.0,1.0,Driving Dunk Shot,2.0,-5.0,2.0,1.0,1.0
448,20190102.0,1.0,Alley Oop Layup shot,2.0,5.0,8.0,1.0,1.0
459,20190104.0,1.0,Cutting Dunk Shot,2.0,-7.0,5.0,1.0,1.0
467,20190106.0,0.0,Driving Layup Shot,2.0,0.0,27.0,1.0,1.0
524,20190112.0,1.0,Running Reverse Dunk Shot,2.0,1.0,9.0,1.0,1.0
529,20190113.0,0.0,Layup Shot,2.0,-26.0,6.0,1.0,1.0
538,20190113.0,1.0,Driving Reverse Layup Shot,2.0,-3.0,11.0,1.0,1.0
547,20190116.0,0.0,Driving Layup Shot,2.0,-6.0,23.0,1.0,1.0
549,20190116.0,1.0,Driving Reverse Dunk Shot,2.0,11.0,-1.0,1.0,1.0
553,20190118.0,0.0,Layup Shot,2.0,-22.0,28.0,1.0,1.0
560,20190118.0,1.0,Layup Shot,2.0,1.0,19.0,1.0,1.0
571,20190123.0,1.0,Cutting Dunk Shot,2.0,-14.0,7.0,1.0,1.0
586,20190125.0,1.0,Driving Dunk Shot,2.0,4.0,22.0,1.0,1.0
660,20190205.0,1.0,Driving Layup Shot,2.0,10.0,10.0,1.0,1.0
679,20190209.0,0.0,Driving Layup Shot,2.0,-1.0,23.0,1.0,1.0
683,20190209.0,0.0,Running Layup Shot,2.0,8.0,29.0,1.0,1.0
691,20190210.0,0.0,Layup Shot,2.0,-24.0,35.0,1.0,1.0
