AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
106355,20190302.0,0.0,Turnaround Fadeaway shot,2.0,0.0,67.0,6.0,1.0
106438,20190320.0,0.0,Jump Shot,2.0,114.0,34.0,6.0,1.0
125729,20181112.0,0.0,Fadeaway Jump Shot,2.0,-1.0,97.0,6.0,1.0
186996,20181107.0,0.0,Driving Hook Shot,2.0,33.0,17.0,6.0,1.0
187537,20190211.0,0.0,Hook Shot,2.0,-40.0,81.0,6.0,1.0
12618,2017-04-12,0.0,Turnaround Jump Shot,2.0,156.0,21.0,6.0,1.0
47607,2017-01-24,1.0,Jump Shot,2.0,159.0,23.0,6.0,1.0
48196,2016-12-11,0.0,Pullup Jump Shot,2.0,50.0,166.0,6.0,1.0
48735,2017-03-08,1.0,Pullup Jump Shot,2.0,81.0,164.0,6.0,1.0
75277,2017-02-04,1.0,Hook Shot,2.0,-48.0,61.0,6.0,1.0
76342,2017-04-08,0.0,Jump Shot,2.0,42.0,109.0,6.0,1.0
97075,2016-10-25,1.0,Driving Hook Shot,2.0,2.0,41.0,6.0,1.0
109920,2017-03-13,1.0,Jump Shot,2.0,-106.0,173.0,6.0,1.0
125874,2016-11-14,1.0,Driving Floating Jump Shot,2.0,-84.0,46.0,6.0,1.0
126120,2016-12-25,1.0,Jump Shot,2.0,-160.0,61.0,6.0,1.0
155054,2016-11-01,0.0,Jump Shot,2.0,0.0,203.0,6.0,1.0
155399,2016-12-28,1.0,Jump Shot,2.0,28.0,196.0,6.0,1.0
160908,2017-01-14,0.0,Jump Shot,2.0,-16.0,181.0,6.0,1.0
166672,2017-03-08,0.0,Floating Jump Shot,2.0,-45.0,98.0,6.0,1.0
178431,2017-04-02,1.0,Jump Shot,2.0,-140.0,55.0,6.0,1.0
185412,2016-12-21,1.0,Turnaround Hook Shot,2.0,-1.0,80.0,6.0,1.0
