AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
9015,20181116.0,1.0,Step Back Jump shot,2.0,30.0,148.0,2.0,1.0
9037,20181117.0,0.0,Step Back Jump shot,2.0,-81.0,132.0,2.0,1.0
9061,20181119.0,1.0,Jump Shot,2.0,-107.0,168.0,2.0,1.0
9101,20181123.0,1.0,Jump Shot,2.0,-92.0,185.0,2.0,1.0
9148,20181130.0,1.0,Jump Shot,2.0,98.0,86.0,2.0,1.0
9153,20181130.0,1.0,Step Back Jump shot,2.0,150.0,-5.0,2.0,1.0
9192,20181203.0,0.0,Turnaround Fadeaway shot,2.0,-114.0,15.0,2.0,1.0
9214,20181205.0,0.0,Jump Shot,2.0,-136.0,39.0,2.0,1.0
9256,20181210.0,0.0,Floating Jump shot,2.0,-27.0,79.0,2.0,1.0
9280,20181210.0,0.0,Jump Shot,2.0,-28.0,157.0,2.0,1.0
9284,20181210.0,1.0,Turnaround Hook Shot,2.0,81.0,2.0,2.0,1.0
9419,20181226.0,1.0,Turnaround Fadeaway shot,2.0,2.0,63.0,2.0,1.0
9431,20181228.0,0.0,Jump Shot,2.0,-101.0,31.0,2.0,1.0
9444,20181228.0,1.0,Floating Jump shot,2.0,-46.0,-2.0,2.0,1.0
9455,20181228.0,1.0,Jump Shot,2.0,-140.0,-16.0,2.0,1.0
9482,20190102.0,1.0,Fadeaway Jump Shot,2.0,-94.0,122.0,2.0,1.0
9514,20190107.0,0.0,Turnaround Fadeaway shot,2.0,-8.0,101.0,2.0,1.0
9635,20190118.0,1.0,Driving Floating Bank Jump Shot,2.0,56.0,25.0,2.0,1.0
9701,20190225.0,0.0,Floating Jump shot,2.0,-61.0,44.0,2.0,1.0
9732,20190301.0,0.0,Driving Hook Shot,2.0,5.0,67.0,2.0,1.0
9804,20190318.0,0.0,Driving Floating Jump Shot,2.0,-81.0,36.0,2.0,1.0
10101,20181020.0,1.0,Driving Floating Jump Shot,2.0,-7.0,70.0,2.0,1.0
10157,20181102.0,1.0,Jump Shot,2.0,0.0,232.0,2.0,1.0
10228,20181116.0,1.0,Pullup Jump shot,2.0,-77.0,160.0,2.0,1.0
10348,20190111.0,0.0,Jump Shot,2.0,-53.0,106.0,2.0,1.0
10383,20190303.0,1.0,Pullup Jump shot,2.0,145.0,148.0,2.0,1.0
10394,20190315.0,0.0,Pullup Jump shot,2.0,22.0,78.0,2.0,1.0
10456,20190330.0,0.0,Driving Floating Jump Shot,2.0,-62.0,36.0,2.0,1.0
10477,20190410.0,0.0,Pullup Jump shot,2.0,-23.0,225.0,2.0,1.0
11127,20190221.0,1.0,Floating Jump shot,2.0,0.0,84.0,2.0,1.0
11159,20190228.0,1.0,Jump Shot,2.0,27.0,206.0,2.0,1.0
11229,20190328.0,1.0,Driving Floating Bank Jump Shot,2.0,-73.0,35.0,2.0,1.0
11360,20181120.0,1.0,Jump Shot,2.0,144.0,126.0,2.0,1.0
11368,20181123.0,1.0,Jump Shot,2.0,-199.0,16.0,2.0,1.0
11706,20190212.0,1.0,Pullup Jump shot,2.0,55.0,204.0,2.0,1.0
11718,20190212.0,1.0,Jump Shot,2.0,71.0,208.0,2.0,1.0
11802,20190303.0,0.0,Pullup Jump shot,2.0,-121.0,155.0,2.0,1.0
11814,20190303.0,0.0,Pullup Jump shot,2.0,3.0,103.0,2.0,1.0
12062,20181230.0,0.0,Hook Shot,2.0,38.0,47.0,2.0,1.0
12128,20190125.0,0.0,Jump Shot,2.0,11.0,98.0,2.0,1.0
12298,20190326.0,0.0,Jump Shot,2.0,21.0,18.0,2.0,1.0
12439,20181016.0,0.0,Running Jump Shot,2.0,-32.0,46.0,2.0,1.0
12758,20181216.0,0.0,Turnaround Jump Shot,2.0,105.0,69.0,2.0,1.0
12770,20181217.0,1.0,Driving Floating Bank Jump Shot,2.0,29.0,13.0,2.0,1.0
12849,20190102.0,1.0,Driving Hook Shot,2.0,-16.0,27.0,2.0,1.0
12984,20190123.0,1.0,Turnaround Fadeaway shot,2.0,-101.0,58.0,2.0,1.0
13016,20190129.0,0.0,Turnaround Fadeaway shot,2.0,-128.0,47.0,2.0,1.0
13095,20190212.0,1.0,Driving Floating Jump Shot,2.0,58.0,47.0,2.0,1.0
13103,20190213.0,0.0,Jump Shot,2.0,15.0,127.0,2.0,1.0
13118,20190221.0,0.0,Pullup Jump shot,2.0,-73.0,183.0,2.0,1.0
13171,20190302.0,1.0,Turnaround Hook Shot,2.0,0.0,90.0,2.0,1.0
13284,20190320.0,0.0,Jump Shot,2.0,-83.0,159.0,2.0,1.0
13371,20190406.0,1.0,Turnaround Fadeaway shot,2.0,-1.0,42.0,2.0,1.0
13387,20190409.0,0.0,Turnaround Jump Shot,2.0,-101.0,43.0,2.0,1.0
13740,20181103.0,1.0,Turnaround Fadeaway Bank Jump Shot,2.0,-108.0,31.0,2.0,1.0
13744,20181103.0,0.0,Turnaround Fadeaway Bank Jump Shot,2.0,-86.0,58.0,2.0,1.0
14020,20181209.0,0.0,Driving Hook Shot,2.0,-38.0,83.0,2.0,1.0
14495,20190202.0,0.0,Turnaround Jump Shot,2.0,-120.0,68.0,2.0,1.0
15024,20181211.0,0.0,Jump Shot,2.0,68.0,136.0,2.0,1.0
15031,20181213.0,0.0,Turnaround Hook Shot,2.0,-23.0,80.0,2.0,1.0
15045,20181228.0,1.0,Hook Shot,2.0,-43.0,63.0,2.0,1.0
15083,20190212.0,1.0,Turnaround Jump Shot,2.0,82.0,29.0,2.0,1.0
15101,20190223.0,0.0,Jump Shot,2.0,-8.0,141.0,2.0,1.0
15146,20190328.0,1.0,Turnaround Fadeaway Bank Jump Shot,2.0,9.0,11.0,2.0,1.0
15251,20181213.0,1.0,Turnaround Hook Shot,2.0,81.0,5.0,2.0,1.0
15264,20181215.0,1.0,Driving Floating Bank Jump Shot,2.0,74.0,50.0,2.0,1.0
15274,20181217.0,1.0,Jump Shot,2.0,120.0,20.0,2.0,1.0
15354,20190119.0,1.0,Jump Shot,2.0,-140.0,138.0,2.0,1.0
15437,20190130.0,1.0,Jump Shot,2.0,92.0,39.0,2.0,1.0
15469,20190208.0,1.0,Driving Floating Jump Shot,2.0,-25.0,105.0,2.0,1.0
15473,20190208.0,0.0,Step Back Jump shot,2.0,140.0,-1.0,2.0,1.0
15573,20190303.0,0.0,Driving Hook Shot,2.0,11.0,95.0,2.0,1.0
15577,20190303.0,0.0,Driving Floating Jump Shot,2.0,19.0,132.0,2.0,1.0
15598,20190308.0,1.0,Jump Shot,2.0,179.0,25.0,2.0,1.0
15622,20190309.0,0.0,Turnaround Jump Shot,2.0,121.0,6.0,2.0,1.0
15719,20190326.0,0.0,Turnaround Hook Shot,2.0,-27.0,38.0,2.0,1.0
15933,20181129.0,0.0,Jump Shot,2.0,16.0,3.0,2.0,1.0
15977,20181207.0,1.0,Driving Floating Jump Shot,2.0,21.0,107.0,2.0,1.0
16016,20181212.0,1.0,Pullup Jump shot,2.0,120.0,118.0,2.0,1.0
16138,20190101.0,1.0,Jump Shot,2.0,19.0,155.0,2.0,1.0
16234,20190117.0,1.0,Fadeaway Jump Shot,2.0,-78.0,188.0,2.0,1.0
16263,20190121.0,0.0,Driving Floating Jump Shot,2.0,76.0,30.0,2.0,1.0
16383,20190210.0,1.0,Fadeaway Jump Shot,2.0,-105.0,136.0,2.0,1.0
16595,20190328.0,0.0,Jump Shot,2.0,-53.0,185.0,2.0,1.0
16652,20190405.0,1.0,Floating Jump shot,2.0,-11.0,57.0,2.0,1.0
17092,20181231.0,0.0,Floating Jump shot,2.0,-98.0,55.0,2.0,1.0
17120,20190106.0,1.0,Fadeaway Jump Shot,2.0,-87.0,62.0,2.0,1.0
17215,20190123.0,1.0,Pullup Jump shot,2.0,103.0,5.0,2.0,1.0
17451,20190227.0,0.0,Pullup Jump shot,2.0,92.0,26.0,2.0,1.0
17616,20190321.0,0.0,Jump Shot,2.0,-105.0,48.0,2.0,1.0
17862,20190405.0,1.0,Driving Floating Jump Shot,2.0,104.0,115.0,2.0,1.0
18255,20181201.0,0.0,Pullup Jump shot,2.0,-102.0,174.0,2.0,1.0
18261,20181201.0,0.0,Driving Floating Jump Shot,2.0,5.0,91.0,2.0,1.0
18325,20181208.0,1.0,Step Back Jump shot,2.0,-141.0,108.0,2.0,1.0
18402,20181216.0,1.0,Pullup Jump shot,2.0,-160.0,143.0,2.0,1.0
18634,20190106.0,1.0,Pullup Jump shot,2.0,22.0,142.0,2.0,1.0
18692,20190111.0,0.0,Driving Floating Jump Shot,2.0,25.0,104.0,2.0,1.0
18730,20190113.0,1.0,Step Back Jump shot,2.0,-30.0,210.0,2.0,1.0
18751,20190117.0,0.0,Pullup Jump shot,2.0,-71.0,156.0,2.0,1.0
19001,20190213.0,1.0,Pullup Jump shot,2.0,-146.0,1.0,2.0,1.0
19046,20190223.0,0.0,Turnaround Jump Shot,2.0,59.0,94.0,2.0,1.0
19135,20190306.0,0.0,Pullup Jump shot,2.0,-49.0,151.0,2.0,1.0
19169,20190309.0,1.0,Step Back Jump shot,2.0,16.0,146.0,2.0,1.0
19204,20190311.0,0.0,Jump Shot,2.0,12.0,161.0,2.0,1.0
19355,20190326.0,0.0,Pullup Jump shot,2.0,-5.0,162.0,2.0,1.0
19395,20190329.0,1.0,Pullup Jump shot,2.0,41.0,173.0,2.0,1.0
19522,20181018.0,0.0,Jump Shot,2.0,-58.0,139.0,2.0,1.0
19567,20181031.0,0.0,Pullup Jump shot,2.0,91.0,83.0,2.0,1.0
19605,20181110.0,0.0,Jump Shot,2.0,103.0,157.0,2.0,1.0
19637,20181114.0,0.0,Turnaround Fadeaway shot,2.0,43.0,119.0,2.0,1.0
19650,20181117.0,1.0,Pullup Jump shot,2.0,54.0,162.0,2.0,1.0
19672,20181121.0,0.0,Driving Floating Jump Shot,2.0,-14.0,52.0,2.0,1.0
19708,20181125.0,1.0,Running Jump Shot,2.0,-119.0,126.0,2.0,1.0
19713,20181127.0,1.0,Pullup Jump shot,2.0,6.0,116.0,2.0,1.0
19747,20181130.0,0.0,Pullup Jump shot,2.0,-7.0,130.0,2.0,1.0
19773,20181221.0,1.0,Fadeaway Jump Shot,2.0,33.0,118.0,2.0,1.0
19844,20190102.0,0.0,Driving Floating Jump Shot,2.0,58.0,0.0,2.0,1.0
19856,20190102.0,1.0,Pullup Jump shot,2.0,-6.0,136.0,2.0,1.0
19919,20190107.0,0.0,Jump Shot,2.0,-107.0,175.0,2.0,1.0
19970,20190115.0,1.0,Step Back Jump shot,2.0,67.0,177.0,2.0,1.0
19988,20190119.0,1.0,Pullup Jump shot,2.0,67.0,184.0,2.0,1.0
