AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
4,20181017.0,0.0,Turnaround Jump Shot,2.0,-91.0,87.0,1.0,1.0
17,20181017.0,0.0,Pullup Jump shot,2.0,-29.0,101.0,1.0,1.0
131,20181107.0,0.0,Pullup Jump shot,2.0,-54.0,200.0,1.0,1.0
156,20181109.0,0.0,Pullup Jump shot,2.0,-106.0,115.0,1.0,1.0
204,20181118.0,1.0,Fadeaway Jump Shot,2.0,-64.0,114.0,1.0,1.0
229,20181120.0,0.0,Step Back Jump shot,2.0,-169.0,85.0,1.0,1.0
314,20181207.0,0.0,Turnaround Hook Shot,2.0,3.0,50.0,1.0,1.0
335,20181210.0,0.0,Jump Shot,2.0,-36.0,172.0,1.0,1.0
364,20181219.0,0.0,Driving Floating Jump Shot,2.0,1.0,27.0,1.0,1.0
375,20181221.0,1.0,Jump Shot,2.0,-84.0,55.0,1.0,1.0
389,20181223.0,0.0,Jump Shot,2.0,-18.0,194.0,1.0,1.0
402,20181226.0,0.0,Step Back Jump shot,2.0,116.0,121.0,1.0,1.0
416,20181230.0,1.0,Turnaround Jump Shot,2.0,-113.0,9.0,1.0,1.0
456,20190104.0,0.0,Pullup Jump shot,2.0,-154.0,85.0,1.0,1.0
460,20190104.0,0.0,Pullup Jump shot,2.0,-81.0,89.0,1.0,1.0
511,20190112.0,0.0,Pullup Jump shot,2.0,-73.0,173.0,1.0,1.0
533,20190113.0,1.0,Pullup Jump shot,2.0,13.0,125.0,1.0,1.0
567,20190123.0,0.0,Turnaround Jump Shot,2.0,19.0,141.0,1.0,1.0
597,20190127.0,1.0,Jump Shot,2.0,-50.0,111.0,1.0,1.0
600,20190127.0,0.0,Turnaround Fadeaway shot,2.0,90.0,10.0,1.0,1.0
628,20190131.0,0.0,Pullup Jump shot,2.0,79.0,197.0,1.0,1.0
648,20190202.0,0.0,Jump Shot,2.0,-82.0,145.0,1.0,1.0
688,20190209.0,0.0,Pullup Jump shot,2.0,84.0,129.0,1.0,1.0
710,20190214.0,0.0,Pullup Jump shot,2.0,-4.0,137.0,1.0,1.0
735,20190222.0,1.0,Pullup Jump shot,2.0,98.0,168.0,1.0,1.0
761,20190226.0,0.0,Jump Shot,2.0,113.0,195.0,1.0,1.0
785,20190302.0,0.0,Turnaround Jump Shot,2.0,-2.0,1.0,1.0,1.0
788,20190302.0,0.0,Running Jump Shot,2.0,49.0,57.0,1.0,1.0
813,20190303.0,1.0,Turnaround Fadeaway shot,2.0,18.0,115.0,1.0,1.0
818,20190305.0,1.0,Step Back Jump shot,2.0,69.0,183.0,1.0,1.0
837,20190308.0,0.0,Step Back Jump shot,2.0,-100.0,157.0,1.0,1.0
845,20190308.0,0.0,Turnaround Jump Shot,2.0,-12.0,74.0,1.0,1.0
909,20190320.0,0.0,Turnaround Jump Shot,2.0,-93.0,135.0,1.0,1.0
939,20190325.0,0.0,Pullup Jump shot,2.0,-29.0,169.0,1.0,1.0
958,20190326.0,0.0,Jump Shot,2.0,-67.0,19.0,1.0,1.0
973,20190330.0,1.0,Step Back Jump shot,2.0,2.0,80.0,1.0,1.0
976,20190330.0,0.0,Step Back Jump shot,2.0,12.0,73.0,1.0,1.0
