AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
1873,20190119.0,1.0,Jump Shot,2.0,-163.0,46.0,4.0,1.0
2104,20190306.0,1.0,Jump Bank Shot,2.0,44.0,12.0,4.0,1.0
2220,20190403.0,0.0,Turnaround Jump Shot,2.0,46.0,69.0,4.0,1.0
9019,20181116.0,0.0,Step Back Jump shot,2.0,158.0,99.0,4.0,1.0
11370,20181123.0,0.0,Pullup Jump shot,2.0,135.0,164.0,4.0,1.0
11710,20190212.0,0.0,Pullup Jump shot,2.0,157.0,83.0,4.0,1.0
15148,20190328.0,1.0,Turnaround Jump Shot,2.0,3.0,124.0,4.0,1.0
15440,20190130.0,0.0,Jump Shot,2.0,63.0,127.0,4.0,1.0
20027,20190127.0,0.0,Pullup Jump shot,2.0,-114.0,147.0,4.0,1.0
20048,20190129.0,1.0,Pullup Jump shot,2.0,-94.0,157.0,4.0,1.0
20055,20190131.0,0.0,Jump Shot,2.0,-138.0,91.0,4.0,1.0
20207,20190301.0,1.0,Turnaround Fadeaway shot,2.0,71.0,143.0,4.0,1.0
26743,20190225.0,1.0,Jump Shot,2.0,123.0,56.0,4.0,1.0
27199,20181121.0,1.0,Pullup Jump shot,2.0,48.0,112.0,4.0,1.0
28748,20190130.0,1.0,Driving Floating Jump Shot,2.0,-37.0,87.0,4.0,1.0
28863,20190221.0,1.0,Pullup Jump shot,2.0,169.0,104.0,4.0,1.0
29003,20190309.0,1.0,Pullup Jump shot,2.0,-67.0,163.0,4.0,1.0
33922,20181125.0,0.0,Driving Floating Jump Shot,2.0,39.0,9.0,4.0,1.0
34045,20181207.0,1.0,Jump Shot,2.0,-194.0,32.0,4.0,1.0
34633,20190221.0,1.0,Driving Floating Jump Shot,2.0,-40.0,109.0,4.0,1.0
35073,20190406.0,0.0,Jump Shot,2.0,90.0,99.0,4.0,1.0
41853,20190316.0,0.0,Pullup Jump shot,2.0,166.0,55.0,4.0,1.0
44441,20181223.0,0.0,Fadeaway Jump Shot,2.0,71.0,136.0,4.0,1.0
44765,20190309.0,0.0,Floating Jump shot,2.0,19.0,42.0,4.0,1.0
44852,20190321.0,0.0,Jump Shot,2.0,105.0,68.0,4.0,1.0
46568,20181022.0,0.0,Turnaround Fadeaway shot,2.0,-79.0,55.0,4.0,1.0
46623,20181027.0,1.0,Turnaround Jump Shot,2.0,-113.0,83.0,4.0,1.0
46760,20181114.0,0.0,Pullup Jump shot,2.0,-59.0,176.0,4.0,1.0
47579,20190304.0,0.0,Pullup Jump shot,2.0,110.0,122.0,4.0,1.0
47625,20190312.0,1.0,Fadeaway Jump Shot,2.0,55.0,83.0,4.0,1.0
47687,20190320.0,0.0,Floating Jump shot,2.0,-75.0,57.0,4.0,1.0
47774,20190331.0,0.0,Pullup Jump shot,2.0,20.0,162.0,4.0,1.0
49509,20190129.0,1.0,Driving Floating Jump Shot,2.0,2.0,152.0,4.0,1.0
49520,20190201.0,1.0,Pullup Jump shot,2.0,-152.0,99.0,4.0,1.0
51995,20181215.0,1.0,Driving Floating Jump Shot,2.0,-70.0,67.0,4.0,1.0
52247,20190223.0,1.0,Turnaround Hook Shot,2.0,7.0,51.0,4.0,1.0
52318,20190305.0,0.0,Step Back Jump shot,2.0,-162.0,74.0,4.0,1.0
53175,20181121.0,0.0,Jump Shot,2.0,40.0,104.0,4.0,1.0
53458,20181229.0,0.0,Driving Floating Jump Shot,2.0,-10.0,56.0,4.0,1.0
54018,20190321.0,0.0,Step Back Jump shot,2.0,-82.0,139.0,4.0,1.0
56976,20190405.0,0.0,Jump Shot,2.0,-30.0,60.0,4.0,1.0
56991,20190405.0,0.0,Hook Shot,2.0,31.0,57.0,4.0,1.0
61625,20190205.0,0.0,Driving Floating Jump Shot,2.0,31.0,149.0,4.0,1.0
61678,20190213.0,0.0,Driving Floating Jump Shot,2.0,-35.0,116.0,4.0,1.0
62297,20181119.0,0.0,Floating Jump shot,2.0,-50.0,67.0,4.0,1.0
64076,20181221.0,0.0,Pullup Jump shot,2.0,-55.0,176.0,4.0,1.0
68991,20190403.0,1.0,Pullup Jump shot,2.0,72.0,148.0,4.0,1.0
72480,20181105.0,0.0,Driving Floating Jump Shot,2.0,35.0,22.0,4.0,1.0
76003,20190407.0,1.0,Jump Shot,2.0,123.0,196.0,4.0,1.0
83779,20190121.0,0.0,Turnaround Hook Shot,2.0,56.0,-5.0,4.0,1.0
85862,20190409.0,1.0,Pullup Jump shot,2.0,57.0,165.0,4.0,1.0
86643,20190206.0,0.0,Pullup Jump shot,2.0,-47.0,194.0,4.0,1.0
88821,20190308.0,0.0,Driving Floating Jump Shot,2.0,16.0,92.0,4.0,1.0
97532,20181123.0,1.0,Step Back Jump shot,2.0,81.0,124.0,4.0,1.0
97652,20190108.0,1.0,Pullup Jump shot,2.0,-47.0,214.0,4.0,1.0
102523,20181023.0,1.0,Pullup Jump shot,2.0,-125.0,137.0,4.0,1.0
103629,20190404.0,0.0,Jump Shot,2.0,-18.0,105.0,4.0,1.0
106189,20181123.0,1.0,Floating Jump shot,2.0,-29.0,91.0,4.0,1.0
106353,20190302.0,1.0,Turnaround Bank Hook Shot,2.0,-7.0,13.0,4.0,1.0
106392,20190308.0,0.0,Turnaround Fadeaway shot,2.0,-60.0,58.0,4.0,1.0
