AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
1755,20181225.0,1.0,Hook Shot,2.0,-19.0,5.0,3.0,1.0
1822,20190109.0,1.0,Turnaround Hook Shot,2.0,-41.0,55.0,3.0,1.0
1872,20190118.0,1.0,Hook Shot,2.0,60.0,89.0,3.0,1.0
1892,20190121.0,0.0,Jump Shot,2.0,56.0,56.0,3.0,1.0
1938,20190201.0,1.0,Jump Shot,2.0,95.0,22.0,3.0,1.0
2038,20190223.0,0.0,Jump Shot,2.0,163.0,5.0,3.0,1.0
2103,20190306.0,1.0,Hook Shot,2.0,-2.0,64.0,3.0,1.0
2219,20190403.0,1.0,Turnaround Jump Shot,2.0,52.0,116.0,3.0,1.0
3626,20190407.0,0.0,Jump Shot,2.0,-16.0,110.0,3.0,1.0
6281,20190109.0,0.0,Driving Floating Jump Shot,2.0,-17.0,33.0,3.0,1.0
7337,20181112.0,0.0,Step Back Jump shot,2.0,70.0,147.0,3.0,1.0
7653,20181228.0,0.0,Pullup Jump shot,2.0,-92.0,197.0,3.0,1.0
8034,20190208.0,0.0,Turnaround Jump Shot,2.0,-131.0,88.0,3.0,1.0
8692,20190225.0,0.0,Jump Shot,2.0,-89.0,113.0,3.0,1.0
8809,20181017.0,0.0,Turnaround Fadeaway shot,2.0,-6.0,139.0,3.0,1.0
8932,20181107.0,0.0,Floating Jump shot,2.0,-50.0,15.0,3.0,1.0
9017,20181116.0,1.0,Fadeaway Jump Shot,2.0,2.0,162.0,3.0,1.0
9064,20181119.0,0.0,Fadeaway Jump Shot,2.0,85.0,126.0,3.0,1.0
9102,20181123.0,0.0,Pullup Jump shot,2.0,-20.0,91.0,3.0,1.0
9150,20181130.0,0.0,Jump Shot,2.0,46.0,191.0,3.0,1.0
9156,20181130.0,0.0,Turnaround Jump Shot,2.0,-114.0,116.0,3.0,1.0
9285,20181210.0,0.0,Jump Shot,2.0,108.0,121.0,3.0,1.0
9420,20181226.0,0.0,Step Back Jump shot,2.0,-154.0,121.0,3.0,1.0
9445,20181228.0,0.0,Turnaround Jump Shot,2.0,-73.0,-4.0,3.0,1.0
9636,20190118.0,1.0,Driving Hook Shot,2.0,23.0,48.0,3.0,1.0
10102,20181020.0,0.0,Jump Shot,2.0,-93.0,190.0,3.0,1.0
10159,20181102.0,0.0,Jump Shot,2.0,155.0,111.0,3.0,1.0
10229,20181116.0,0.0,Step Back Jump shot,2.0,-89.0,117.0,3.0,1.0
10384,20190303.0,1.0,Pullup Jump shot,2.0,178.0,25.0,3.0,1.0
11369,20181123.0,1.0,Turnaround Jump Shot,2.0,65.0,170.0,3.0,1.0
11708,20190212.0,1.0,Pullup Jump shot,2.0,-100.0,180.0,3.0,1.0
12771,20181217.0,0.0,Jump Shot,2.0,54.0,9.0,3.0,1.0
12850,20190102.0,0.0,Running Jump Shot,2.0,20.0,24.0,3.0,1.0
13173,20190302.0,0.0,Turnaround Hook Shot,2.0,-38.0,12.0,3.0,1.0
15147,20190328.0,1.0,Turnaround Hook Shot,2.0,3.0,66.0,3.0,1.0
15252,20181213.0,0.0,Jump Shot,2.0,-127.0,92.0,3.0,1.0
15265,20181217.0,0.0,Jump Shot,2.0,143.0,67.0,3.0,1.0
15438,20190130.0,1.0,Turnaround Hook Shot,2.0,-1.0,53.0,3.0,1.0
15978,20181207.0,0.0,Jump Shot,2.0,58.0,122.0,3.0,1.0
16017,20181212.0,1.0,Floating Jump shot,2.0,-65.0,139.0,3.0,1.0
16139,20190101.0,1.0,Jump Shot,2.0,-21.0,43.0,3.0,1.0
16384,20190210.0,0.0,Floating Jump shot,2.0,-3.0,67.0,3.0,1.0
16654,20190407.0,0.0,Jump Bank Shot,2.0,79.0,62.0,3.0,1.0
17121,20190106.0,0.0,Step Back Jump shot,2.0,2.0,209.0,3.0,1.0
17863,20190407.0,1.0,Driving Floating Jump Shot,2.0,-22.0,11.0,3.0,1.0
19002,20190213.0,0.0,Pullup Jump shot,2.0,-52.0,166.0,3.0,1.0
19396,20190329.0,0.0,Jump Shot,2.0,114.0,209.0,3.0,1.0
19652,20181117.0,0.0,Turnaround Fadeaway shot,2.0,68.0,17.0,3.0,1.0
19709,20181127.0,0.0,Pullup Jump shot,2.0,130.0,99.0,3.0,1.0
19714,20181127.0,0.0,Fadeaway Jump Shot,2.0,-125.0,38.0,3.0,1.0
19774,20181221.0,0.0,Turnaround Fadeaway shot,2.0,81.0,12.0,3.0,1.0
