AA,A_GAME_DATE,D_SHOT_MADE,E_SHOT_TYPE,F_SHOT_SCORE,G_LOCX,H_LOCY,I_Streak,J_Count
2105,20190306.0,0.0,Jump Shot,2.0,-51.0,164.0,5.0,1.0
15149,20190328.0,0.0,Jump Shot,2.0,18.0,221.0,5.0,1.0
20049,20190129.0,0.0,Pullup Jump shot,2.0,-104.0,136.0,5.0,1.0
20208,20190301.0,1.0,Jump Shot,2.0,47.0,106.0,5.0,1.0
26746,20190227.0,1.0,Jump Shot,2.0,-36.0,-5.0,5.0,1.0
28749,20190130.0,1.0,Step Back Jump shot,2.0,-87.0,155.0,5.0,1.0
34047,20181207.0,0.0,Pullup Jump shot,2.0,-79.0,-1.0,5.0,1.0
46624,20181027.0,1.0,Step Back Jump shot,2.0,2.0,153.0,5.0,1.0
49511,20190129.0,0.0,Pullup Jump shot,2.0,-75.0,132.0,5.0,1.0
52248,20190223.0,1.0,Jump Shot,2.0,-82.0,159.0,5.0,1.0
68993,20190405.0,0.0,Pullup Jump shot,2.0,163.0,63.0,5.0,1.0
106354,20190302.0,1.0,Jump Shot,2.0,-157.0,137.0,5.0,1.0
106436,20190320.0,1.0,Turnaround Fadeaway shot,2.0,-74.0,7.0,5.0,1.0
111697,20190205.0,1.0,Pullup Jump shot,2.0,-187.0,103.0,5.0,1.0
117520,20190225.0,0.0,Hook Shot,2.0,-44.0,95.0,5.0,1.0
118253,20181212.0,0.0,Hook Shot,2.0,-72.0,42.0,5.0,1.0
125728,20181112.0,1.0,Pullup Jump shot,2.0,146.0,50.0,5.0,1.0
126797,20190327.0,0.0,Turnaround Jump Shot,2.0,36.0,98.0,5.0,1.0
130297,20190328.0,1.0,Driving Floating Jump Shot,2.0,0.0,112.0,5.0,1.0
132101,20181226.0,0.0,Turnaround Fadeaway shot,2.0,-111.0,19.0,5.0,1.0
136891,20181209.0,0.0,Jump Shot,2.0,-66.0,181.0,5.0,1.0
136925,20181213.0,0.0,Jump Shot,2.0,-128.0,64.0,5.0,1.0
137442,20190225.0,0.0,Turnaround Jump Shot,2.0,-8.0,32.0,5.0,1.0
141279,20181202.0,0.0,Hook Shot,2.0,-18.0,19.0,5.0,1.0
171122,20190403.0,0.0,Driving Hook Shot,2.0,-56.0,96.0,5.0,1.0
173148,20181101.0,0.0,Jump Shot,2.0,-43.0,185.0,5.0,1.0
175284,20190405.0,0.0,Turnaround Fadeaway shot,2.0,-3.0,64.0,5.0,1.0
177844,20190129.0,1.0,Floating Jump shot,2.0,-58.0,99.0,5.0,1.0
180248,20190318.0,0.0,Hook Shot,2.0,-1.0,73.0,5.0,1.0
186995,20181105.0,1.0,Turnaround Fadeaway Bank Jump Shot,2.0,55.0,73.0,5.0,1.0
187412,20190119.0,0.0,Turnaround Fadeaway shot,2.0,-103.0,25.0,5.0,1.0
187536,20190211.0,1.0,Hook Shot,2.0,4.0,38.0,5.0,1.0
188729,20181112.0,1.0,Step Back Jump shot,2.0,-120.0,106.0,5.0,1.0
190071,20190409.0,0.0,Pullup Jump shot,2.0,-87.0,147.0,5.0,1.0
207724,20181118.0,0.0,Pullup Jump shot,2.0,87.0,148.0,5.0,1.0
218612,20181213.0,0.0,Pullup Jump shot,2.0,33.0,146.0,5.0,1.0
